Rank,Player,Stat,Line,Pick,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
38,Josh Hart,3PM,1.5,UNDER,65.40%,S,BET,65.08,NO GAME,,UNDER,66.60%,66.29,NO GAME,UNDER,66.70%,66.36,NO GAME,UNDER,64.20%,63.81,NO GAME,UNDER,64.20%,63.86,NO GAME,-0.09,-1.12,-0.46,-0.9,0.83,1.4,1.6,0.0125,100.00%
39,RJ Barrett,FTM,3.5,UNDER,65.60%,B,STRONG BET,64.97,❌ MISS,5.0,UNDER,65.40%,64.78,❌ MISS,UNDER,64.90%,64.34,❌ MISS,UNDER,66.30%,65.68,❌ MISS,UNDER,65.70%,65.09,❌ MISS,-0.22,-0.88,-0.67,-0.9,0.67,1.4,1.6,0.0049,100.00%
40,Nikola Jokić,TOV,3.5,UNDER,62.80%,A,BET WITH CAUTION,64.82,❌ MISS,5.0,UNDER,61.30%,63.35,❌ MISS,UNDER,61.20%,63.26,❌ MISS,UNDER,64.40%,66.46,❌ MISS,UNDER,64.20%,66.21,❌ MISS,0.11,0.47,0.0,1.1,-0.84,1.2,1.2,0.0152,100.00%
41,Jalen Suggs,PRA,24.5,UNDER,66.80%,D,STRONG BET,64.79,✅ HIT,18.0,UNDER,66.40%,64.41,✅ HIT,UNDER,65.90%,63.91,✅ HIT,UNDER,67.60%,65.58,✅ HIT,UNDER,67.30%,65.26,✅ HIT,-0.86,-0.67,0.01,-1.3,-0.38,1.2,1.2,0.0066,100.00%
42,Brandon Miller,3PA,8.5,UNDER,66.80%,B,STRONG BET,64.59,✅ HIT,5.0,UNDER,65.20%,62.98,✅ HIT,UNDER,64.60%,62.38,✅ HIT,UNDER,69.00%,66.81,✅ HIT,UNDER,68.40%,66.19,✅ HIT,-0.32,-2.76,0.0,-2.7,2.38,1.2,2.0,0.0194,100.00%
43,OG Anunoby,SB,2.5,UNDER,62.30%,A,BET WITH CAUTION,63.71,❌ MISS,3.0,UNDER,58.70%,60.19,❌ MISS,UNDER,58.90%,60.33,❌ MISS,UNDER,65.80%,67.28,❌ MISS,UNDER,65.60%,67.07,❌ MISS,-0.02,0.05,0.27,0.1,-0.14,1.2,1.2,0.0346,100.00%
44,Kevin Durant,3PM,2.5,UNDER,62.90%,S,BET WITH CAUTION,63.56,✅ HIT,0.0,UNDER,62.70%,63.44,✅ HIT,UNDER,62.90%,63.56,✅ HIT,UNDER,62.90%,63.59,✅ HIT,UNDER,63.00%,63.66,✅ HIT,-0.11,-0.2,0.17,-0.3,0.14,1.0,0.8,0.0008,100.00%
45,Karl-Anthony Towns,RA,15.5,UNDER,61.40%,C,DO NOT BET,63.53,✅ HIT,14.0,UNDER,65.00%,67.14,✅ HIT,UNDER,63.20%,65.38,✅ HIT,UNDER,59.20%,61.36,✅ HIT,UNDER,58.10%,60.24,✅ HIT,-0.52,1.55,0.63,2.1,-2.81,1.2,0.4,0.0283,100.00%
46,Donovan Mitchell,3PA,8.5,UNDER,61.90%,B,BET WITH CAUTION,63.49,❌ MISS,13.0,UNDER,64.30%,65.9,❌ MISS,UNDER,63.80%,65.37,❌ MISS,UNDER,59.70%,61.35,❌ MISS,UNDER,59.70%,61.33,❌ MISS,0.32,-0.87,0.0,-2.1,2.86,1.4,1.6,0.0216,100.00%
47,Amen Thompson,PTS,16.5,OVER,66.10%,D,STRONG BET,63.43,❌ MISS,16.0,OVER,68.60%,65.95,❌ MISS,OVER,67.60%,64.97,❌ MISS,OVER,64.60%,61.93,❌ MISS,OVER,63.60%,60.89,❌ MISS,-0.48,-2.29,-0.08,-5.9,4.67,1.4,2.0,0.0209,100.00%
