Rank,Player,Stat,Line,Pick,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
408,Dejounte Murray,PRA,30.5,OVER,52.2%,D,DO NOT BET,50.75,,,OVER,55.5%,54.09,,OVER,55.5%,54.1,,UNDER,51.3%,54.75,,UNDER,51.0%,54.43,,0.0,-0.49,-1.75,-3.5,3.5,0.8,1.2,0.0334,50.0%
409,Cooper Flagg,AST,4.5,OVER,50.3%,C,DO NOT BET,50.74,,,OVER,52.4%,52.92,,OVER,51.7%,52.17,,UNDER,51.3%,52.8,,UNDER,51.8%,53.31,,0.05,-1.13,0.07,-2.1,2.19,1.4,2.0,0.0183,50.0%
410,Josh Giddey,REB,8.5,OVER,50.9%,B,DO NOT BET,50.68,,,OVER,50.2%,49.98,,OVER,51.1%,50.83,,OVER,50.9%,50.61,,OVER,51.6%,51.3,,0.04,-1.13,-0.25,-2.1,2.18,1.0,1.6,0.0047,100.0%
411,Bennedict Mathurin,RA,7.5,UNDER,50.3%,C,DO NOT BET,50.62,,,UNDER,51.3%,51.57,,UNDER,50.9%,51.24,,OVER,50.5%,52.19,,OVER,50.4%,52.14,,0.2,0.15,-1.43,0.3,0.08,1.0,0.8,0.008,50.0%
412,Stephon Castle,TOV,2.5,OVER,51.5%,A,DO NOT BET,50.58,,,OVER,55.4%,54.44,,OVER,54.9%,53.95,,UNDER,52.0%,54.91,,UNDER,52.2%,55.14,,-0.42,-0.44,0.0,-0.7,0.02,0.6,0.8,0.0361,50.0%
413,Jaylen Brown,3PM,1.5,OVER,51.8%,S,DO NOT BET,50.52,,,OVER,51.9%,50.64,,OVER,51.7%,50.35,,OVER,52.0%,50.73,,OVER,51.7%,50.35,,-0.6,0.94,-2.0,0.7,-1.15,0.8,0.4,0.0017,100.0%
414,Dejounte Murray,3PM,1.5,OVER,51.9%,S,DO NOT BET,50.46,,,OVER,53.9%,52.45,,OVER,53.6%,52.14,,OVER,50.2%,48.8,,UNDER,50.1%,53.55,,-0.09,-0.23,-2.0,-0.3,0.18,1.0,1.2,0.0184,75.0%
415,Jalen Green,PR,23.5,UNDER,51.4%,D,DO NOT BET,50.45,,,UNDER,53.0%,52.06,,UNDER,52.9%,51.99,,OVER,50.1%,53.06,,OVER,50.3%,53.19,,-0.56,1.92,-0.32,9.5,-12.26,0.8,0.0,0.0158,50.0%
416,Jayson Tatum,PR,28.5,OVER,50.1%,D,DO NOT BET,50.41,,,UNDER,51.7%,53.4,,UNDER,51.6%,53.37,,OVER,51.9%,52.15,,OVER,52.0%,52.28,,0.06,0.06,-1.5,0.25,0.0,1.4,1.2,0.018,50.0%
417,Austin Reaves,PTS,20.5,OVER,54.5%,D,DO NOT BET,50.32,,,OVER,54.0%,49.8,,OVER,53.5%,49.25,,OVER,55.7%,51.49,,OVER,54.9%,50.73,,-0.73,-1.43,0.69,-6.9,3.35,0.8,1.6,0.0086,100.0%
418,Jayson Tatum,3PA,8.5,OVER,50.0%,B,DO NOT BET,50.17,,,OVER,51.9%,51.98,,OVER,51.1%,51.2,,UNDER,51.1%,52.96,,UNDER,51.7%,53.54,,-0.64,-0.64,1.5,-1.5,0.0,1.4,1.6,0.0146,50.0%
419,Darius Garland,3PM,2.5,OVER,50.0%,S,DO NOT BET,50.07,,,OVER,50.3%,50.37,,OVER,50.0%,50.1,,OVER,50.0%,50.07,,UNDER,50.3%,52.27,,-0.02,-1.19,0.1,-1.5,1.47,1.2,1.6,0.0023,75.0%
420,Jalen Green,TOV,2.5,UNDER,53.4%,A,DO NOT BET,50.03,,,UNDER,55.4%,52.04,,UNDER,55.5%,52.16,,UNDER,51.2%,47.82,,UNDER,51.4%,48.09,,-0.19,0.71,-4.5,0.7,-0.88,0.8,0.4,0.0208,100.0%
421,Brandin Podziemski,3PA,6.5,UNDER,52.2%,B,DO NOT BET,49.82,,,UNDER,53.5%,51.07,,UNDER,53.8%,51.41,,UNDER,50.5%,48.09,,UNDER,51.1%,48.71,,-0.69,0.39,-1.5,0.9,-2.52,1.0,0.8,0.0144,100.0%
422,Desmond Bane,PA,26.5,UNDER,50.2%,D,DO NOT BET,49.65,,,UNDER,50.4%,49.85,,UNDER,50.0%,49.49,,UNDER,50.4%,49.87,,OVER,50.1%,52.61,,-0.28,0.77,0.02,4.5,-6.14,0.6,0.4,0.0022,75.0%
423,Devin Booker,3PA,6.5,UNDER,52.1%,B,DO NOT BET,48.99,,,UNDER,50.1%,47.03,,UNDER,50.7%,47.65,,UNDER,53.5%,50.43,,UNDER,53.9%,50.84,,-0.31,0.37,-3.0,0.9,-1.65,0.6,0.8,0.0167,100.0%
424,Jayson Tatum,TOV,2.5,UNDER,56.0%,A,DO NOT BET,48.7,,,UNDER,61.7%,54.33,,UNDER,61.6%,54.23,,UNDER,50.3%,42.96,,UNDER,50.6%,43.26,,-2.89,-2.89,-1.5,-1.25,-0.0,1.2,1.6,0.0559,100.0%
425,Luka Dončić,PTS,30.5,OVER,50.5%,D,DO NOT BET,48.32,,,UNDER,50.1%,54.27,,UNDER,50.5%,54.67,,OVER,51.6%,49.42,,OVER,51.0%,48.81,,-0.28,-0.95,0.32,-7.7,5.4,1.0,1.6,0.0083,50.0%
426,Alperen Sengun,PTS,19.5,UNDER,51.0%,D,DO NOT BET,48.27,,,OVER,50.8%,55.53,,OVER,50.3%,55.1,,UNDER,52.4%,49.63,,UNDER,52.8%,50.08,,0.11,-0.42,-4.5,-2.5,3.16,1.4,1.6,0.016,50.0%
427,Brandin Podziemski,PRA,28.5,UNDER,53.4%,D,DO NOT BET,45.17,,,UNDER,53.8%,45.61,,UNDER,53.6%,45.38,,UNDER,53.2%,45.0,,UNDER,52.9%,44.68,,-0.93,0.1,-1.5,0.7,-7.17,0.6,0.8,0.0035,100.0%
428,Brandin Podziemski,PR,23.5,UNDER,50.2%,D,DO NOT BET,43.7,,,UNDER,51.4%,44.89,,UNDER,51.4%,44.87,,OVER,50.9%,59.41,,OVER,51.0%,59.55,,-0.64,0.09,-1.5,0.7,-5.95,0.8,1.2,0.0118,50.0%
