Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Rank Score,Result,Actual Value,Avg Edge Side,Avg Same Line Market Prob Side,Avg All Books Market Prob Side,Same Line Books,All Books,Edge,Model Alpha,Agreement,Signals,Market Consensus Line,Market Consensus Prob,Best Over Odds,Best Over Book,Best Under Odds,Best Under Book,DFS vs Market,FanDuel line,FanDuel line_delta,FanDuel over_no_vig_prob,FanDuel under_no_vig_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_no_vig_prob,DraftKings under_no_vig_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_no_vig_prob,BetRivers under_no_vig_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_no_vig_prob,BetOnline under_no_vig_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_no_vig_prob,Bovada under_no_vig_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_no_vig_prob,BetMGM under_no_vig_prob,BetMGM edge,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
236,Tobias Harris,FTA,2.5,UNDER,PrizePicks,,,57.5%,12.94,,,0.0,,,0,0,,0.0351,1.0,3.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,-0.35,1.5,-0.5,0.48,1.2,1.2,0.0134,100.0%
237,Ace Bailey,3PM,2.5,UNDER,Underdog and PrizePicks,,1.03x,64.1%,12.9,,,-0.0522,0.4874,0.4878,5,6,-0.0526,0.1535,1.0,0.596,2.5,52.1%,200,Bovada,-105,BetMGM,NEUTRAL,2.5,0.0,51.1%,48.9%,0.1009,2.5,0.0,51.5%,48.5%,0.1009,2.5,0.0,50.9%,49.1%,0.1009,2.5,0.0,50.8%,49.2%,0.1009,3.5,1.0,51.0%,49.0%,0.1009,2.5,0.0,52.0%,48.0%,0.1009,-0.22,0.56,-0.75,1.5,-2.09,0.8,0.8,0.0099,100.0%
238,CJ McCollum,PR,23.5,UNDER,Underdog,,,58.3%,12.74,,,0.0,,,0,0,,0.0431,1.0,1.1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.35,0.03,1.03,0.1,-1.44,1.0,0.8,0.0193,100.0%
239,Joel Embiid,FGM,8.5,OVER,PrizePicks,Goblin,,58.1%,12.73,,,0.0,,,0,0,,0.0411,1.0,0.9624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.32,-1.13,-0.2,-2.1,1.51,1.6,1.6,0.0042,100.0%
240,Ace Bailey,STL,0.5,OVER,PrizePicks,Goblin,,58.2%,12.62,,,0.0,,,0,0,,0.0419,1.0,0.9574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29,-0.4,0.0,-0.5,0.14,1.2,0.8,0.0128,100.0%
241,Donte DiVincenzo,PA,17.0,UNDER,PrizePicks,,,66.9%,12.62,,,-0.0729,,0.4671,0,4,-0.0729,0.202,1.0,-1.2079,17.5,51.7%,110,Bovada,-114,FanDuel,NEUTRAL,17.5,0.5,53.3%,46.7%,0.1292,17.5,0.5,53.0%,46.9%,0.1292,,,,,,,,,,,18.5,1.5,54.5%,45.5%,0.1292,17.5,0.5,52.2%,47.8%,0.1292,-0.12,-0.78,-3.0,-4.4,3.7,1.8,1.6,0.0213,100.0%
242,Joel Embiid,3PA,3.5,OVER,PrizePicks,Goblin,,58.4%,12.61,,,0.0,,,0,0,,0.0436,1.0,0.4404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,-0.49,-0.75,-0.9,0.43,1.2,1.2,0.0124,100.0%
243,Rudy Gobert,BLK,1.5,OVER,Underdog and PrizePicks,Goblin,0.82x,56.5%,12.57,,,0.0169,0.5569,0.5569,4,4,0.0169,0.008,1.0,0.9552,1.5,55.7%,-135,Bovada,116,FanDuel,NEUTRAL,1.5,0.0,57.0%,43.0%,0.0249,1.5,0.0,54.6%,45.4%,0.0249,,,,,,,,,,,1.5,0.0,54.1%,45.9%,0.0249,1.5,0.0,57.0%,43.0%,0.0249,-0.12,-1.16,0.0,-1.7,1.53,0.8,1.6,0.0207,100.0%
244,Brandon Miller,RA,9.0,UNDER,PrizePicks,,,62.5%,12.52,,,-0.0402,,0.4998,0,4,-0.0402,0.1249,1.0,0.5663,9.0,50.0%,115,Bovada,104,FanDuel,NEUTRAL,8.5,-0.5,48.6%,51.4%,0.0847,8.5,-0.5,48.4%,51.5%,0.0847,,,,,,,,,,,9.5,0.5,49.4%,50.6%,0.0847,9.5,0.5,53.7%,46.3%,0.0847,-0.17,-0.07,-0.93,-0.2,-0.26,1.0,1.2,0.0081,100.0%
245,Naz Reid,REB,5.5,OVER,PrizePicks,Goblin,,50.5%,12.47,,,0.0597,,0.5997,0,6,0.0597,-0.0948,1.0,3.8574,6.5,43.9%,170,Bovada,-132,DraftKings,FAVORABLE,6.5,1.0,59.1%,40.9%,-0.0351,6.5,1.0,60.6%,39.4%,-0.0351,6.5,1.0,60.8%,39.2%,-0.0351,6.5,1.0,59.2%,40.8%,-0.0351,7.5,2.0,61.9%,38.1%,-0.0351,6.5,1.0,58.1%,41.9%,-0.0351,-0.21,-0.13,3.0,-0.5,-0.3,1.2,0.8,0.004,100.0%
246,Donte DiVincenzo,RA,7.5,UNDER,Underdog and PrizePicks,,,58.0%,12.43,,,-0.0056,0.5344,0.5344,4,4,-0.0056,0.0459,1.0,2.6773,7.5,53.4%,110,BetMGM,-115,FanDuel,NEUTRAL,7.5,0.0,49.6%,50.4%,0.0403,7.5,0.0,46.2%,53.8%,0.0403,,,,,,,,,,,7.5,0.0,45.9%,54.1%,0.0403,7.5,0.0,44.6%,55.4%,0.0403,0.38,-0.76,-1.0,-1.7,2.56,1.6,1.6,0.0121,100.0%
247,Victor Wembanyama,RA,14.5,UNDER,Underdog,,,62.5%,12.41,,,-0.0489,0.4969,0.4911,3,4,-0.0431,0.1276,1.0,1.3133,14.5,51.7%,120,Bovada,-106,FanDuel,NEUTRAL,14.5,0.0,51.5%,48.5%,0.0845,14.5,0.0,50.5%,49.5%,0.0845,,,,,,,,,,,15.5,1.0,52.6%,47.3%,0.0845,14.5,0.0,48.9%,51.1%,0.0845,-0.1,0.16,-0.86,0.5,-0.79,1.2,1.2,0.0086,100.0%
248,Coby White,FTA,3.5,OVER,PrizePicks,Goblin,,58.1%,12.34,,,0.0,,,0,0,,0.0415,1.0,0.7887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.77,-0.84,0.98,-1.5,0.12,1.2,1.6,0.0189,100.0%
249,Myles Turner,FTA,1.5,OVER,PrizePicks,Goblin,,58.6%,12.29,,,0.0,,,0,0,,0.046,1.0,0.1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.83,-0.26,-0.37,-0.3,-0.67,1.4,1.2,0.0336,100.0%
250,Tobias Harris,RA,8.5,UNDER,Underdog and PrizePicks,,,58.3%,12.21,,,-0.0185,0.5292,0.5215,3,4,-0.0108,0.0534,1.0,2.8453,8.5,55.1%,145,Bovada,-118,DraftKings,NEUTRAL,8.5,0.0,47.6%,52.4%,0.0426,8.5,0.0,49.3%,50.7%,0.0426,,,,,,,,,,,9.5,1.0,50.1%,49.9%,0.0426,8.5,0.0,44.3%,55.7%,0.0426,-0.23,0.91,1.5,2.9,-3.63,1.0,0.4,0.0062,100.0%
251,Josh Hart,PRA,23.5,OVER,PrizePicks,,,61.9%,12.2,,,-0.0347,0.5053,0.5053,1,1,-0.0347,0.1138,1.0,-0.2312,23.5,50.5%,-118,FanDuel,-112,FanDuel,NEUTRAL,23.5,0.0,50.5%,49.5%,0.0791,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,-0.6,-1.38,-5.1,3.8,1.6,1.6,0.0059,100.0%
252,Tobias Harris,REB,5.5,UNDER,Underdog,,0.94x,57.8%,12.15,,,-0.0134,0.5345,0.5267,5,6,-0.0055,0.0431,1.0,3.0087,5.5,55.3%,165,Bovada,-122,DraftKings,NEUTRAL,5.5,0.0,46.7%,53.3%,0.0376,5.5,0.0,48.5%,51.5%,0.0376,5.5,0.0,45.7%,54.3%,0.0376,5.5,0.0,46.3%,53.7%,0.0376,6.5,1.0,51.3%,48.7%,0.0376,5.5,0.0,45.5%,54.5%,0.0376,-0.12,0.46,1.5,0.9,-1.13,1.0,0.4,0.0156,100.0%
253,Dyson Daniels,PTS,12.5,OVER,Underdog and PrizePicks,,,62.6%,12.05,,,-0.0486,0.4864,0.4914,4,6,-0.0536,0.1401,1.0,3.1357,12.5,47.1%,205,Bovada,118,BetRivers,NEUTRAL,12.5,0.0,50.0%,50.0%,0.0865,12.5,0.0,47.9%,52.1%,0.0865,11.5,-1.0,51.2%,48.8%,0.0865,12.5,0.0,48.7%,51.3%,0.0865,15.5,3.0,49.1%,50.9%,0.0865,12.5,0.0,48.0%,52.0%,0.0865,0.09,-0.06,0.33,-0.5,1.27,1.2,0.8,0.0072,100.0%
254,Jalen Duren,PA,24.5,UNDER,Underdog and PrizePicks,,,65.4%,12.04,,,-0.06,0.48,0.48,1,1,-0.06,0.1742,1.0,-2.6746,24.5,48.0%,-125,BetMGM,-105,BetMGM,NEUTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,0.0,52.0%,48.0%,0.1142,-0.62,0.55,-1.56,2.9,-6.15,1.0,1.2,0.0087,100.0%
255,VJ Edgecombe,PRA,25.5,OVER,Underdog,,1.06x,65.8%,12.03,,,-0.0776,0.4616,0.4624,2,6,-0.0784,0.1967,1.0,1.9105,25.0,48.3%,125,Bovada,108,BetRivers,NEUTRAL,24.5,-1.0,46.4%,53.6%,0.1183,24.5,-1.0,45.8%,54.2%,0.1183,23.5,-2.0,47.1%,52.9%,0.1183,25.5,0.0,44.7%,55.3%,0.1183,26.5,1.0,45.8%,54.2%,0.1183,25.5,0.0,47.6%,52.4%,0.1183,-0.03,-0.95,0.23,-12.5,12.15,1.4,1.6,0.0132,100.0%
256,Tobias Harris,STL,0.5,OVER,PrizePicks,Goblin,,57.2%,12.03,,,0.0,,,0,0,,0.0323,1.0,2.1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.77,-0.2,1.5,-0.1,-0.28,0.8,1.2,0.0067,100.0%
257,Devin Booker,FGM,8.5,OVER,PrizePicks,,,58.3%,11.93,,,0.0,,,0,0,,0.0428,1.0,0.7769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.43,-1.86,1.1,-0.95,1.2,0.8,0.0422,100.0%
258,Jalen Johnson,PRA,43.5,UNDER,Underdog and PrizePicks,,,63.6%,11.87,,,-0.0449,0.4947,0.4951,2,6,-0.0454,0.1411,1.0,-1.0579,43.5,49.5%,110,Bovada,114,BetRivers,NEUTRAL,42.5,-1.0,47.8%,52.2%,0.0957,43.5,0.0,50.8%,49.2%,0.0957,41.5,-2.0,49.2%,50.8%,0.0957,43.5,0.0,50.3%,49.7%,0.0957,45.5,2.0,52.0%,48.0%,0.0957,44.5,1.0,52.9%,47.1%,0.0957,-0.22,-0.36,-0.61,-3.7,1.43,1.2,1.2,0.0323,100.0%
259,Ace Bailey,PRA,24.5,OVER,Underdog,,0.85x,57.2%,11.68,,,-0.0093,0.5213,0.5307,1,5,-0.0187,0.0506,1.0,8.1286,25.5,48.8%,110,Bovada,-104,FanDuel,FAVORABLE,24.5,0.0,52.1%,47.9%,0.0319,25.5,1.0,53.5%,46.5%,0.0319,,,,,,25.5,1.0,52.7%,47.3%,0.0319,26.5,2.0,53.1%,46.9%,0.0319,25.5,1.0,54.0%,46.0%,0.0319,0.49,-1.0,1.33,-10.3,15.4,1.0,1.2,0.0258,100.0%
260,Julius Randle,SB,1.5,UNDER,PrizePicks,,,57.2%,11.62,,,0.0,,,0,0,,0.0325,1.0,1.0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13,0.88,-1.0,0.9,-1.03,1.0,0.4,0.0016,100.0%
261,CJ McCollum,RA,7.5,UNDER,Underdog,,1.07x,56.9%,11.61,,,0.0,,,0,0,,0.0294,1.0,2.1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13,0.03,-0.0,0.1,-0.48,1.4,1.2,0.0063,100.0%
262,Tyrese Maxey,AST,6.5,UNDER,Underdog,,0.87x,58.7%,11.58,,,-0.009,0.5233,0.531,4,6,-0.0167,0.0633,1.0,3.028,6.5,53.0%,180,Bovada,122,BetOnline.ag,NEUTRAL,6.5,0.0,48.9%,51.1%,0.0466,6.5,0.0,47.1%,52.9%,0.0466,6.5,0.0,46.7%,53.3%,0.0466,5.5,-1.0,43.6%,56.4%,0.0466,7.5,1.0,47.1%,52.9%,0.0466,6.5,0.0,48.0%,52.0%,0.0466,0.06,-0.17,0.17,-0.5,0.67,1.2,1.6,0.0224,100.0%
263,Jalen Duren,PTS,22.5,UNDER,Underdog and PrizePicks,,,63.7%,11.53,,,-0.0508,0.4968,0.4892,5,6,-0.0432,0.1407,1.0,-3.9893,22.5,53.0%,210,Bovada,-110,BetMGM,NEUTRAL,22.5,0.0,50.4%,49.6%,0.0975,22.5,0.0,50.1%,49.9%,0.0975,22.5,0.0,50.0%,50.0%,0.0975,22.5,0.0,50.0%,50.0%,0.0975,26.5,4.0,54.9%,45.1%,0.0975,22.5,0.0,51.1%,48.9%,0.0975,-0.91,0.63,-1.69,2.1,-5.12,0.6,0.4,0.0101,100.0%
264,Ace Bailey,FTA,1.5,OVER,PrizePicks,Goblin,,57.6%,11.42,,,0.0,,,0,0,,0.0357,1.0,1.5928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,-0.43,0.25,-1.7,2.0,0.6,0.8,0.0387,100.0%
265,Rudy Gobert,FTM,1.5,OVER,PrizePicks,Goblin,,57.3%,11.33,,,0.0,,,0,0,,0.0332,1.0,0.8194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45,-0.48,0.0,-0.7,0.04,1.2,1.2,0.0131,100.0%
266,Miles Bridges,RA,8.5,UNDER,Underdog,,0.86x,56.5%,11.27,,,-0.0033,0.5368,0.5368,4,4,-0.0032,0.0286,1.0,3.6509,8.5,53.7%,108,FanDuel,-118,BetMGM,NEUTRAL,8.5,0.0,44.8%,55.2%,0.0253,8.5,0.0,45.4%,54.6%,0.0253,,,,,,,,,,,8.5,0.0,45.9%,54.1%,0.0253,8.5,0.0,49.2%,50.8%,0.0253,0.17,-0.14,0.4,-0.5,1.12,1.4,1.2,0.0087,100.0%
267,Victor Wembanyama,REB,11.5,UNDER,Underdog and PrizePicks,,,60.0%,11.22,,,-0.0201,0.512,0.5199,4,6,-0.028,0.0876,1.0,1.4018,11.5,52.0%,145,Bovada,105,BetMGM,NEUTRAL,11.5,0.0,49.6%,50.4%,0.0596,11.5,0.0,48.4%,51.6%,0.0596,11.5,0.0,49.7%,50.3%,0.0596,11.5,0.0,47.5%,52.5%,0.0596,12.5,1.0,50.5%,49.5%,0.0596,10.5,-1.0,42.4%,57.6%,0.0596,-0.09,0.03,-0.07,0.1,-0.38,1.0,0.8,0.009,100.0%
268,CJ McCollum,REB,3.5,UNDER,Underdog and PrizePicks,,,56.5%,11.16,,,0.0,,,0,0,,0.0246,1.0,2.5363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,-0.35,0.7,-0.5,0.38,1.2,1.2,0.0059,100.0%
269,Victor Wembanyama,AST,2.5,OVER,PrizePicks,Goblin,,50.9%,11.06,,,0.0641,0.5792,0.6041,2,6,0.0392,-0.07,1.0,5.9662,3.5,45.8%,150,Bovada,124,BetOnline.ag,FAVORABLE,3.5,1.0,61.8%,38.2%,-0.0308,2.5,0.0,57.8%,42.2%,-0.0308,3.5,1.0,63.0%,37.0%,-0.0308,2.5,0.0,58.0%,42.0%,-0.0308,3.5,1.0,59.4%,40.6%,-0.0308,3.5,1.0,62.4%,37.6%,-0.0308,-0.3,-0.55,4.5,-0.9,0.42,1.2,1.6,0.0035,100.0%
270,Naz Reid,STL,0.5,OVER,PrizePicks,Goblin,,56.0%,10.99,,,0.0,,,0,0,,0.0199,1.0,3.4425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.53,-0.56,3.0,-0.5,0.03,0.8,1.2,0.0049,100.0%
271,Paul George,AST,3.5,OVER,Underdog and PrizePicks,Goblin,0.85x,59.0%,10.9,,,0.0175,0.5369,0.5575,5,6,-0.0031,0.0532,1.0,-3.6663,3.5,50.9%,155,Bovada,112,BetRivers,NEUTRAL,3.5,0.0,51.9%,48.1%,0.0501,3.5,0.0,53.8%,46.2%,0.0501,3.5,0.0,56.1%,43.9%,0.0501,3.5,0.0,53.2%,46.8%,0.0501,4.5,1.0,66.1%,33.9%,0.0501,3.5,0.0,53.5%,46.5%,0.0501,-0.2,-0.46,-6.0,-0.5,0.29,1.6,1.6,0.0167,100.0%
272,Devin Booker,3PA,5.5,OVER,Underdog,,1.04x,58.1%,10.9,,,0.0,,,0,0,,0.041,1.0,-2.1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,0.26,-4.04,0.3,-0.52,1.2,0.8,0.0137,100.0%
273,DeMar DeRozan,PR,19.5,OVER,Underdog and PrizePicks,,,59.8%,10.85,,,-0.025,0.5169,0.5151,3,4,-0.0231,0.0811,1.0,-0.6298,19.5,50.5%,100,Bovada,-104,FanDuel,NEUTRAL,19.5,0.0,52.4%,47.6%,0.058,19.5,0.0,51.6%,48.4%,0.058,,,,,,,,,,,20.5,1.0,50.9%,49.1%,0.058,19.5,0.0,51.1%,48.9%,0.058,-0.16,0.3,-0.03,3.7,-5.64,0.8,0.4,0.0037,100.0%
274,Jalen Williams,RA,8.5,OVER,PrizePicks,Goblin,,56.5%,10.82,,,0.0156,0.5556,0.5556,1,1,0.0156,0.0092,1.0,-2.854,8.5,55.6%,-147,FanDuel,110,FanDuel,NEUTRAL,8.5,0.0,55.6%,44.4%,0.0248,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,-0.03,-3.0,-0.1,-1.47,1.0,1.2,0.0068,100.0%
275,VJ Edgecombe,3PM,1.5,OVER,Underdog and PrizePicks,Goblin,0.78x,52.2%,10.76,,,0.048,0.5961,0.588,5,6,0.0561,-0.0738,0.5,3.4195,1.5,55.2%,185,Bovada,143,BetRivers,NEUTRAL,1.5,0.0,61.4%,38.6%,-0.0177,1.5,0.0,58.6%,41.4%,-0.0177,1.5,0.0,61.8%,38.2%,-0.0177,1.5,0.0,58.7%,41.3%,-0.0177,2.5,1.0,54.7%,45.3%,-0.0177,1.5,0.0,57.6%,42.4%,-0.0177,-0.22,-0.61,3.0,-1.5,0.95,0.6,1.2,0.0394,50.0%
276,Kon Knueppel,RA,8.5,UNDER,Underdog,,0.86x,57.5%,10.75,,,-0.015,0.5263,0.5251,3,4,-0.0137,0.0488,1.0,3.0321,8.5,55.1%,150,Bovada,-123,DraftKings,NEUTRAL,8.5,0.0,47.2%,52.8%,0.0351,8.5,0.0,48.4%,51.6%,0.0351,,,,,,,,,,,9.5,1.0,47.9%,52.1%,0.0351,8.5,0.0,46.5%,53.5%,0.0351,0.06,0.22,0.05,1.1,-0.79,1.2,1.2,0.009,100.0%
277,Rudy Gobert,PTS,12.5,UNDER,Underdog and PrizePicks,,,61.1%,10.68,,,-0.0652,0.4991,0.4748,3,6,-0.0409,0.112,1.0,0.5935,13.0,53.8%,170,Bovada,-110,BetMGM,NEUTRAL,12.5,0.0,48.9%,51.1%,0.0711,13.5,1.0,54.4%,45.6%,0.0711,13.5,1.0,53.0%,46.9%,0.0711,12.5,0.0,50.3%,49.7%,0.0711,15.5,3.0,57.4%,42.6%,0.0711,12.5,0.0,51.1%,48.9%,0.0711,-0.3,0.35,-0.0,1.7,-3.16,1.2,0.8,0.0012,100.0%
278,Kon Knueppel,AST,3.5,UNDER,Underdog,,0.79x,53.9%,10.66,,,0.0231,0.5631,0.5631,6,6,0.0231,-0.0242,1.0,2.1958,3.5,56.3%,120,BetMGM,-145,BetOnline.ag,NEUTRAL,3.5,0.0,43.3%,56.7%,-0.0011,3.5,0.0,44.3%,55.7%,-0.0011,3.5,0.0,43.2%,56.8%,-0.0011,3.5,0.0,44.4%,55.6%,-0.0011,3.5,0.0,44.6%,55.4%,-0.0011,3.5,0.0,42.4%,57.6%,-0.0011,-0.01,0.44,-0.0,0.9,-0.93,1.0,0.8,0.0138,100.0%
279,Josh Giddey,PTS,19.5,UNDER,PrizePicks,,,58.2%,10.66,,,0.0,,,0,0,,0.0422,1.0,-3.2829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34,-1.16,-2.45,-7.3,5.17,1.2,1.6,0.0083,100.0%
280,LaMelo Ball,PR,24.5,OVER,Underdog,,,59.5%,10.66,,,-0.0074,0.512,0.5326,1,4,-0.028,0.0828,1.0,1.8051,25.5,49.2%,100,Bovada,-109,DraftKings,FAVORABLE,25.5,1.0,53.0%,47.0%,0.0548,24.5,0.0,51.2%,48.8%,0.0548,,,,,,,,,,,25.5,1.0,52.4%,47.6%,0.0548,25.5,1.0,56.5%,43.5%,0.0548,-0.01,-1.23,-0.29,-4.9,4.84,1.4,2.0,0.0124,100.0%
281,Victor Wembanyama,FGM,8.5,UNDER,PrizePicks,,,56.6%,10.63,,,0.0,,,0,0,,0.0262,1.0,1.0742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,0.2,-0.67,0.3,-0.46,0.6,1.2,0.0067,100.0%
282,Rudy Gobert,FTA,3.5,OVER,PrizePicks,Goblin,,56.5%,10.58,,,0.0,,,0,0,,0.0252,1.0,1.5733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.31,0.05,0.25,0.1,-0.71,1.0,1.2,0.0134,100.0%
283,Dyson Daniels,AST,5.5,UNDER,Underdog,,0.88x,57.4%,10.51,,,-0.0155,0.5258,0.5245,5,6,-0.0142,0.0477,1.0,2.9426,5.5,54.9%,180,Bovada,-120,BetMGM,NEUTRAL,5.5,0.0,46.3%,53.7%,0.0336,5.5,0.0,48.3%,51.7%,0.0336,5.5,0.0,46.1%,53.9%,0.0336,5.5,0.0,47.5%,52.5%,0.0336,6.5,1.0,48.2%,51.8%,0.0336,5.5,0.0,48.9%,51.1%,0.0336,0.24,-0.9,-0.0,-1.5,1.9,1.6,1.6,0.0055,100.0%
284,Miles Bridges,FTM,1.5,OVER,PrizePicks,Goblin,,57.7%,10.44,,,0.0,,,0,0,,0.0371,1.0,-2.0756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,0.79,-0.8,0.5,-1.76,0.8,0.4,0.0126,100.0%
285,De'Aaron Fox,PA,22.0,OVER,PrizePicks,,,66.0%,10.43,,,-0.0742,,0.4658,0,4,-0.0742,0.1946,1.0,-3.221,21.5,49.7%,105,Bovada,-106,FanDuel,NEUTRAL,21.5,-0.5,48.7%,51.3%,0.1204,21.5,-0.5,47.6%,52.3%,0.1204,,,,,,,,,,,22.5,0.5,49.1%,50.9%,0.1204,20.5,-1.5,40.9%,59.1%,0.1204,-1.4,-0.18,-0.5,-0.4,-2.74,1.2,0.8,0.0114,100.0%
286,Kon Knueppel,SB,0.5,OVER,PrizePicks,Goblin,,57.1%,10.4,,,0.0,,,0,0,,0.0313,1.0,-0.3481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37,-0.08,-0.25,-0.1,-0.34,0.4,0.4,0.0161,100.0%
287,Isaiah Hartenstein,PRA,19.5,OVER,PrizePicks,,,62.1%,10.37,,,-0.04,0.5,0.5,1,1,-0.04,0.1212,1.0,-1.7982,19.5,50.0%,-114,FanDuel,-114,FanDuel,NEUTRAL,19.5,0.0,50.0%,50.0%,0.0812,,,,,,,,,,,,,,,,,,,,,,,,,,-0.36,-0.46,0.18,-4.3,0.94,1.0,1.2,0.0279,100.0%
288,DeMar DeRozan,3PM,0.5,UNDER,Underdog,,0.75x,56.0%,10.33,,,0.0,,,0,0,,0.0205,1.0,3.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,-6.0,-0.0,-0.5,0.59,1.8,2.0,0.0434,100.0%
289,Devin Booker,PTS,25.5,OVER,Underdog,,,59.5%,10.28,,,-0.0079,0.5148,0.5321,3,6,-0.0252,0.0805,1.0,-0.3108,26.0,46.9%,200,Bovada,-103,BetRivers,NEUTRAL,25.5,0.0,51.5%,48.5%,0.0552,26.5,1.0,53.1%,46.9%,0.0552,25.5,0.0,53.0%,47.0%,0.0552,26.5,1.0,53.7%,46.3%,0.0552,30.5,5.0,58.0%,42.0%,0.0552,25.5,0.0,50.0%,50.0%,0.0552,0.0,0.33,-2.27,2.1,-2.07,1.2,0.4,0.0047,100.0%
290,Jalen Johnson,PTS,24.5,UNDER,Underdog and PrizePicks,,,60.9%,10.22,,,-0.0355,0.5049,0.5046,3,6,-0.0351,0.1037,1.0,-0.4343,24.5,51.3%,180,Bovada,120,BetRivers,NEUTRAL,23.5,-1.0,47.0%,53.0%,0.0686,24.5,0.0,50.8%,49.2%,0.0686,22.5,-2.0,47.1%,52.9%,0.0686,24.5,0.0,49.7%,50.3%,0.0686,28.5,4.0,54.6%,45.4%,0.0686,24.5,0.0,48.0%,52.0%,0.0686,-0.28,-0.4,-0.55,-2.3,0.69,1.2,1.2,0.0203,100.0%
291,Jalen Green,FTM,2.5,UNDER,Underdog,,0.81x,56.6%,10.17,,,0.0,,,0,0,,0.0264,1.0,1.6348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,0.17,-0.27,0.3,-0.6,1.0,1.2,0.0377,100.0%
292,Miles Bridges,FGM,5.5,OVER,PrizePicks,,,56.5%,10.05,,,0.0,,,0,0,,0.0249,1.0,0.8779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,-0.07,-0.2,-0.1,-0.65,1.2,1.2,0.0193,100.0%
293,Brandon Miller,FGA,15.5,UNDER,Underdog,,1.04x,55.3%,10.02,,,0.0,,,0,0,,0.0131,1.0,3.2321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,-1.4,-0.38,-1.9,2.6,1.8,2.0,0.0013,100.0%
294,Paul George,STL,1.5,UNDER,Underdog,,0.83x,56.0%,9.82,,,0.0,,,0,0,,0.0204,1.0,3.6678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,1.37,1.73,1.1,-1.03,0.4,0.0,0.0587,100.0%
295,LaMelo Ball,3PA,10.5,UNDER,Underdog,,1.03x,56.5%,9.81,,,0.0,,,0,0,,0.0251,1.0,1.0368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28,0.3,0.05,0.7,-1.34,0.8,0.8,0.0331,100.0%
296,Devin Booker,FTM,6.5,UNDER,Underdog,,0.86x,55.8%,9.78,,,0.0,,,0,0,,0.0184,1.0,2.3642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.22,-0.42,0.7,-0.27,0.8,1.2,0.0229,100.0%
297,Brandon Miller,STL,0.5,OVER,PrizePicks,Goblin,,56.6%,9.66,,,0.0,,,0,0,,0.0259,1.0,0.5206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.13,0.2,0.0,0.1,-0.65,1.2,0.8,0.0331,100.0%
