Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Rank Score,Result,Actual Value,Avg Edge Side,Avg Same Line Market Prob Side,Avg All Books Market Prob Side,Same Line Books,All Books,Edge,Model Alpha,Agreement,Signals,Market Consensus Line,Market Consensus Prob,Best Over Odds,Best Over Book,Best Under Odds,Best Under Book,DFS vs Market,FanDuel line,FanDuel line_delta,FanDuel over_no_vig_prob,FanDuel under_no_vig_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_no_vig_prob,DraftKings under_no_vig_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_no_vig_prob,BetRivers under_no_vig_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_no_vig_prob,BetOnline under_no_vig_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_no_vig_prob,Bovada under_no_vig_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_no_vig_prob,BetMGM under_no_vig_prob,BetMGM edge,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
154,Devin Booker,3PM,1.5,OVER,Underdog and PrizePicks,Goblin,0.78x,56.9%,20.39,,,0.0913,0.6097,0.6313,4,6,0.0697,-0.0403,1.0,-1.4372,1.5,53.7%,140,Bovada,142,FanDuel,NEUTRAL,1.5,0.0,61.4%,38.6%,0.0294,2.5,1.0,67.5%,32.5%,0.0294,1.5,0.0,61.2%,38.8%,0.0294,1.5,0.0,60.2%,39.8%,0.0294,2.5,1.0,67.4%,32.6%,0.0294,1.5,0.0,61.1%,38.9%,0.0294,-0.34,0.1,-2.86,0.1,-0.44,1.2,0.8,0.0024,100.0%
155,VJ Edgecombe,RA,8.5,OVER,Underdog,,0.85x,64.6%,20.32,,,0.0144,0.5333,0.5544,2,4,-0.0068,0.113,1.0,0.1604,9.0,49.6%,120,Bovada,102,FanDuel,NEUTRAL,8.5,0.0,53.7%,46.3%,0.1062,8.5,0.0,52.9%,47.1%,0.1062,,,,,,,,,,,9.5,1.0,54.2%,45.8%,0.1062,9.5,1.0,60.9%,39.1%,0.1062,-0.29,-1.03,-0.29,-4.3,3.07,1.4,1.6,0.0086,100.0%
156,Coby White,PTS,14.5,OVER,PrizePicks,,,68.0%,20.27,,,-0.0274,0.5085,0.5126,5,6,-0.0315,0.1718,1.0,-1.4917,14.5,47.4%,210,Bovada,-104,DraftKings,NEUTRAL,14.5,0.0,50.0%,50.0%,0.1403,14.5,0.0,51.8%,48.1%,0.1403,14.5,0.0,50.7%,49.3%,0.1403,14.5,0.0,50.8%,49.2%,0.1403,18.5,4.0,53.3%,46.7%,0.1403,14.5,0.0,50.9%,49.1%,0.1403,-0.56,-1.16,0.73,-6.9,3.59,1.2,1.6,0.0203,100.0%
157,Jalen Johnson,TOV,3.5,UNDER,Underdog,,0.81x,63.6%,20.23,,,0.0,,,0,0,,0.0959,1.0,0.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13,0.31,-0.75,0.3,-0.43,1.0,0.4,0.0057,100.0%
158,Jalen Duren,PRA,35.5,UNDER,Underdog and PrizePicks,,,67.9%,20.19,,,-0.0288,0.5112,0.5112,2,2,-0.0288,0.1678,1.0,-2.6847,35.5,51.1%,-103,BetOnline.ag,-115,BetMGM,NEUTRAL,,,,,,,,,,,,,,,,35.5,0.0,47.8%,52.2%,0.1391,,,,,,35.5,0.0,50.0%,50.0%,0.1391,-0.59,0.37,-1.21,2.3,-5.96,1.2,1.2,0.0092,100.0%
159,Chet Holmgren,REB,7.5,OVER,PrizePicks,Goblin,,60.9%,19.89,,,0.0268,,0.5668,0,1,0.0268,0.0419,1.0,-0.5417,8.5,44.8%,108,FanDuel,-145,FanDuel,FAVORABLE,8.5,1.0,56.7%,43.3%,0.0687,,,,,,,,,,,,,,,,,,,,,,,,,,-0.39,-0.03,-1.5,-0.1,-1.32,1.6,1.2,0.0031,100.0%
160,CJ McCollum,RA,8.0,UNDER,PrizePicks,,,63.0%,19.83,,,0.0,,,0,0,,0.0905,1.0,1.5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29,-0.13,-0.33,-0.4,-0.48,1.6,1.6,0.0086,100.0%
161,De'Aaron Fox,PR,19.5,OVER,PrizePicks,,,70.4%,19.61,,,-0.0723,0.4841,0.4677,3,4,-0.0559,0.2198,1.0,-2.1218,19.5,48.2%,-102,FanDuel,-120,DraftKings,NEUTRAL,19.5,0.0,47.6%,52.4%,0.1639,19.5,0.0,48.7%,51.3%,0.1639,,,,,,,,,,,19.5,0.0,48.9%,51.1%,0.1639,18.5,-1.0,41.9%,58.1%,0.1639,-0.66,-0.31,-0.78,-1.5,-1.67,1.6,1.2,0.0189,100.0%
162,Devin Booker,FTM,7.5,UNDER,PrizePicks,,,63.4%,19.38,,,0.0,,,0,0,,0.0941,1.0,0.1766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18,-0.09,-0.98,-0.3,-0.27,0.8,1.2,0.0196,100.0%
163,De'Aaron Fox,PA,21.5,OVER,Underdog,,0.88x,67.7%,19.36,,,-0.0428,0.5133,0.4972,2,4,-0.0267,0.1636,1.0,-4.2914,21.5,49.7%,105,Bovada,-106,FanDuel,NEUTRAL,21.5,0.0,51.9%,48.1%,0.137,21.5,0.0,50.8%,49.2%,0.137,,,,,,,,,,,22.5,1.0,52.2%,47.8%,0.137,20.5,-1.0,44.0%,56.0%,0.137,-1.62,-0.4,-0.62,-0.9,-2.74,1.2,0.8,0.0108,100.0%
