Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio,FanDuel line,FanDuel line_delta,FanDuel over_hit_prob,FanDuel under_hit_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_hit_prob,DraftKings under_hit_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_hit_prob,BetRivers under_hit_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_hit_prob,BetOnline under_hit_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_hit_prob,Bovada under_hit_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_hit_prob,BetMGM under_hit_prob,BetMGM edge
22,Darius Garland,REB,1.5,OVER,PrizePicks,Goblin,,74.5%,B,STRONG BET,60.22,✅ HIT,4.0,OVER,75.0%,60.39,✅ HIT,OVER,74.8%,60.25,✅ HIT,OVER,74.3%,60.3,✅ HIT,OVER,74.0%,59.96,✅ HIT,-1.19,-0.94,-0.71,-0.7,-0.19,1.4,1.6,0.0039,100.0%,,,,,,2.5,1.0,50.2%,49.8%,0.1578,2.5,1.0,55.1%,44.9%,0.1263,2.5,1.0,51.6%,48.4%,0.1492,2.5,1.0,50.3%,49.7%,0.1576,2.5,1.0,54.6%,45.4%,0.1297
23,Joel Embiid,PTS,22.5,OVER,Underdog and PrizePicks,,,75.0%,D,STRONG BET,59.91,✅ HIT,35.0,OVER,76.1%,61.31,✅ HIT,OVER,75.0%,60.01,✅ HIT,OVER,74.9%,59.9,✅ HIT,OVER,73.7%,58.42,✅ HIT,-0.97,-1.53,-0.7,-6.5,2.39,2.0,2.0,0.0085,100.0%,22.5,0.0,50.5%,49.5%,0.1587,22.5,0.0,50.3%,49.7%,0.1604,22.5,0.0,50.3%,49.7%,0.1604,22.5,0.0,50.5%,49.5%,0.1587,26.5,4.0,38.7%,61.3%,0.2354,23.5,1.0,49.6%,50.4%,0.1645
24,Victor Wembanyama,BLK,3.5,UNDER,Underdog,,0.86x,71.7%,S,STRONG BET,59.72,❌ MISS,7.0,UNDER,71.2%,59.08,❌ MISS,UNDER,71.4%,59.28,❌ MISS,UNDER,72.1%,60.16,❌ MISS,UNDER,72.3%,60.36,❌ MISS,-0.25,-0.16,0.26,-0.3,-0.16,0.6,0.8,0.0046,100.0%,3.5,0.0,44.4%,55.6%,0.1052,3.5,0.0,47.6%,52.4%,0.1257,,,,,,,,,,,,,,,,3.5,0.0,46.1%,53.9%,0.1159
25,Brandin Podziemski,REB,6.0,UNDER,PrizePicks,,,76.1%,B,STRONG BET,59.41,❌ MISS,6.0,UNDER,76.4%,60.13,❌ MISS,UNDER,74.9%,58.31,❌ MISS,UNDER,77.3%,60.49,❌ MISS,UNDER,75.8%,58.72,❌ MISS,-0.24,-0.25,-4.5,-0.8,0.04,1.4,1.6,0.0088,100.0%,5.5,-0.5,54.1%,45.9%,0.1964,5.5,-0.5,55.9%,44.1%,0.2081,5.5,-0.5,53.3%,46.7%,0.1913,5.5,-0.5,51.7%,48.3%,0.1808,7.5,1.5,6.0%,94.0%,-0.1165,5.5,-0.5,55.6%,44.4%,0.2058
26,Victor Wembanyama,RA,16.0,UNDER,PrizePicks,,,73.6%,C,STRONG BET,59.36,❌ MISS,18.0,UNDER,75.4%,61.62,❌ MISS,UNDER,72.9%,58.6,❌ MISS,UNDER,74.4%,60.16,❌ MISS,UNDER,71.7%,57.07,❌ MISS,-0.7,-0.6,-1.03,-1.6,-0.26,1.4,1.6,0.014,100.0%,15.5,-0.5,51.4%,48.6%,0.1625,15.5,-0.5,50.9%,49.1%,0.159,,,,,,,,,,,16.5,0.5,44.4%,55.6%,0.1172,15.5,-0.5,52.1%,47.9%,0.1669
27,Chet Holmgren,3PM,1.5,UNDER,Underdog,,0.81x,69.4%,S,BET,59.1,✅ HIT,1.0,UNDER,70.0%,59.83,✅ HIT,UNDER,70.0%,59.87,✅ HIT,UNDER,68.8%,58.38,✅ HIT,UNDER,68.7%,58.33,✅ HIT,-0.22,-0.6,0.25,-0.7,0.44,1.6,1.6,0.0062,100.0%,1.5,0.0,39.6%,60.4%,0.0586,,,,,,,,,,,,,,,,,,,,,,,,,
28,Scottie Barnes,STL,1.5,UNDER,Underdog,,0.82x,71.0%,A,STRONG BET,59.08,❌ MISS,2.0,UNDER,68.6%,56.15,❌ MISS,UNDER,68.6%,56.15,❌ MISS,UNDER,73.5%,62.08,❌ MISS,UNDER,73.4%,61.93,❌ MISS,-0.25,-0.2,-1.0,-0.1,-0.02,1.4,1.2,0.0244,100.0%,1.5,0.0,44.8%,55.2%,0.103,1.5,0.0,43.4%,56.6%,0.0938,,,,,,,,,,,,,,,,,,,,
29,Victor Wembanyama,REB,12.5,UNDER,Underdog,,,74.4%,B,STRONG BET,58.28,❌ MISS,15.0,UNDER,75.1%,59.22,❌ MISS,UNDER,73.6%,57.41,❌ MISS,UNDER,75.2%,59.12,❌ MISS,UNDER,73.7%,57.36,❌ MISS,-0.48,-0.47,-0.96,-1.3,-0.04,1.4,1.2,0.0077,100.0%,12.5,0.0,48.9%,51.1%,0.1517,12.5,0.0,49.5%,50.5%,0.1552,12.5,0.0,48.4%,51.6%,0.1482,12.5,0.0,47.8%,52.2%,0.144,14.5,2.0,5.9%,94.0%,-0.1276,12.5,0.0,51.1%,48.9%,0.1657
30,Cooper Flagg,3PM,0.5,OVER,Underdog and PrizePicks,Goblin,0.74x,64.4%,S,BET WITH CAUTION,58.05,✅ HIT,1.0,OVER,65.7%,59.24,✅ HIT,OVER,65.3%,58.78,✅ HIT,OVER,63.6%,57.43,✅ HIT,OVER,63.0%,56.77,✅ HIT,-0.6,-0.12,-0.51,-0.1,-0.38,1.0,0.8,0.0113,100.0%,,,,,,1.5,1.0,41.9%,58.1%,0.1461,,,,,,1.5,1.0,41.8%,58.2%,0.1466,1.5,1.0,42.1%,57.9%,0.145,0.5,0.0,64.8%,35.2%,-0.0027
31,Pascal Siakam,PA,25.5,OVER,Underdog and PrizePicks,,,70.9%,D,STRONG BET,57.94,❌ MISS,21.0,OVER,71.9%,59.24,❌ MISS,OVER,72.3%,59.71,❌ MISS,OVER,69.3%,56.11,❌ MISS,OVER,69.8%,56.69,❌ MISS,-0.39,-0.51,0.17,-3.1,0.74,1.4,1.6,0.013,100.0%,25.5,0.0,50.0%,50.0%,0.1355,25.5,0.0,50.4%,49.6%,0.1329,,,,,,,,,,,26.5,1.0,45.5%,54.5%,0.1647,25.5,0.0,52.4%,47.6%,0.1198
