Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio,FanDuel line,FanDuel line_delta,FanDuel over_hit_prob,FanDuel under_hit_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_hit_prob,DraftKings under_hit_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_hit_prob,BetRivers under_hit_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_hit_prob,BetOnline under_hit_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_hit_prob,Bovada under_hit_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_hit_prob,BetMGM under_hit_prob,BetMGM edge
651,Myles Turner,AST,0.5,OVER,PrizePicks,Goblin,,67.5%,C,STRONG BET,37.21,NO GAME,,OVER,67.0%,36.9,NO GAME,OVER,65.1%,35.84,NO GAME,OVER,70.2%,38.65,NO GAME,OVER,68.0%,37.43,NO GAME,-0.83,-0.26,-4.5,-0.3,-0.67,1.0,0.8,0.0184,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Deni Avdija,FGA,15.5,OVER,Underdog and PrizePicks,,,55.5%,D,DO NOT BET,37.2,❌ MISS,8.0,OVER,57.2%,38.14,❌ MISS,OVER,55.3%,37.09,❌ MISS,OVER,55.5%,37.18,❌ MISS,OVER,54.1%,36.41,❌ MISS,-0.15,-0.08,0.17,-0.3,-0.27,1.2,1.2,0.0112,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Julius Randle,RA,11.5,UNDER,Underdog,,0.85x,54.0%,C,DO NOT BET,37.18,❌ MISS,12.0,UNDER,55.6%,38.03,❌ MISS,UNDER,54.8%,37.59,❌ MISS,UNDER,53.1%,36.66,❌ MISS,UNDER,52.7%,36.45,❌ MISS,0.22,-0.46,-0.21,-0.9,1.33,1.4,1.2,0.0119,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,Stephon Castle,TOV,2.5,OVER,Underdog and PrizePicks,,0.93x,59.0%,A,DO NOT BET,37.17,✅ HIT,5.0,OVER,63.8%,39.85,✅ HIT,OVER,63.1%,39.45,✅ HIT,OVER,54.7%,34.83,✅ HIT,OVER,54.2%,34.56,✅ HIT,-0.32,-0.25,-0.6,-0.5,-0.13,0.8,1.2,0.0452,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,Luka Dončić,FGM,11.5,UNDER,PrizePicks,,,57.5%,C,DO NOT BET,37.17,❌ MISS,15.0,UNDER,60.9%,39.05,❌ MISS,UNDER,61.1%,39.15,❌ MISS,UNDER,53.8%,35.11,❌ MISS,UNDER,54.2%,35.37,❌ MISS,-0.29,0.76,-0.06,1.9,-2.62,0.8,0.4,0.0352,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Donte DiVincenzo,PTS,11.5,UNDER,PrizePicks,,,53.4%,D,DO NOT BET,37.17,❌ MISS,17.0,UNDER,54.9%,38.03,❌ MISS,UNDER,55.2%,38.15,❌ MISS,UNDER,51.4%,36.11,❌ MISS,UNDER,51.9%,36.38,❌ MISS,0.13,-0.42,-0.05,-2.3,3.02,1.4,1.2,0.0169,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Jalen Johnson,3PM,1.5,OVER,Underdog and PrizePicks,,,55.7%,S,DO NOT BET,37.16,✅ HIT,2.0,OVER,54.4%,36.44,✅ HIT,OVER,54.0%,36.27,✅ HIT,OVER,57.4%,38.09,✅ HIT,OVER,56.9%,37.83,✅ HIT,-0.15,-1.12,-0.32,-0.9,0.78,1.4,2.0,0.0147,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Jalen Duren,FTM,4.5,UNDER,Underdog,,,55.4%,B,DO NOT BET,37.16,❌ MISS,8.0,UNDER,52.7%,35.7,❌ MISS,UNDER,53.6%,36.23,❌ MISS,UNDER,57.3%,38.24,❌ MISS,UNDER,57.8%,38.5,❌ MISS,-0.04,1.24,-0.37,2.9,-2.99,0.8,0.4,0.0222,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Evan Mobley,SB,2.5,UNDER,Underdog,,0.88x,56.9%,A,DO NOT BET,37.16,✅ HIT,0.0,UNDER,54.5%,35.81,✅ HIT,UNDER,54.8%,35.99,✅ HIT,UNDER,59.2%,38.41,✅ HIT,UNDER,59.2%,38.45,✅ HIT,0.12,-0.08,-0.9,-0.1,0.25,1.0,0.8,0.023,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,RJ Barrett,PR,26.5,UNDER,Underdog and PrizePicks,,,61.8%,D,DO NOT BET,37.15,✅ HIT,18.0,UNDER,62.1%,37.29,✅ HIT,UNDER,61.7%,37.09,✅ HIT,UNDER,61.8%,37.14,✅ HIT,UNDER,61.7%,37.07,✅ HIT,-0.37,-0.16,-0.57,-0.9,-1.24,0.6,0.8,0.0015,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Quentin Grimes,3PM,1.5,OVER,Underdog and PrizePicks,Goblin,0.80x,51.8%,S,DO NOT BET,37.15,❌ MISS,1.0,OVER,53.5%,38.97,❌ MISS,OVER,53.2%,38.64,❌ MISS,OVER,50.5%,35.69,❌ MISS,OVER,50.1%,35.31,❌ MISS,-0.32,0.12,0.58,0.1,-0.35,0.6,0.4,0.0157,100.0%,1.5,0.0,61.1%,38.9%,-0.06,1.5,0.0,60.1%,39.9%,-0.0537,1.5,0.0,61.8%,38.2%,-0.0649,1.5,0.0,60.0%,40.1%,-0.0527,2.5,1.0,54.2%,45.8%,-0.0155,2.5,1.0,61.3%,38.7%,-0.0615
662,Evan Mobley,FTM,2.5,UNDER,Underdog,,1.07x,53.6%,B,DO NOT BET,37.12,✅ HIT,2.0,UNDER,52.0%,36.29,✅ HIT,UNDER,53.1%,36.86,✅ HIT,UNDER,54.1%,37.44,✅ HIT,UNDER,55.0%,37.91,✅ HIT,0.59,-0.2,-0.3,-0.1,0.39,1.2,1.2,0.0111,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Rudy Gobert,FTM,1.5,OVER,PrizePicks,Goblin,,57.5%,B,DO NOT BET,37.11,❌ MISS,0.0,OVER,60.4%,38.67,❌ MISS,OVER,58.0%,37.37,❌ MISS,OVER,57.0%,36.79,❌ MISS,OVER,54.8%,35.6,❌ MISS,-0.47,-0.48,-0.3,-0.7,0.01,1.4,1.2,0.0201,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Cooper Flagg,BLK,0.5,OVER,PrizePicks,Goblin,,55.9%,S,BET WITH CAUTION,37.1,✅ HIT,1.0,OVER,54.8%,35.77,✅ HIT,OVER,53.9%,34.68,✅ HIT,OVER,57.9%,39.57,✅ HIT,OVER,57.0%,38.41,✅ HIT,-0.33,-0.98,-4.5,-1.3,0.87,1.2,1.6,0.0164,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,61.5%,38.5%,-0.0368
665,Alex Caruso,PRA,8.5,OVER,PrizePicks,,,62.8%,D,DO NOT BET,37.09,✅ HIT,15.0,OVER,61.4%,36.31,✅ HIT,OVER,61.2%,36.24,✅ HIT,OVER,64.1%,37.83,✅ HIT,OVER,64.4%,37.97,✅ HIT,-0.47,-0.34,-1.5,-1.9,-0.68,1.4,1.2,0.0148,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Chet Holmgren,RA,9.5,OVER,PrizePicks,,,56.5%,C,DO NOT BET,37.09,❌ MISS,5.0,OVER,56.2%,36.96,❌ MISS,OVER,55.7%,36.69,❌ MISS,OVER,57.4%,37.61,❌ MISS,OVER,56.5%,37.12,❌ MISS,-0.32,-0.14,-0.44,-0.5,-0.69,1.6,1.6,0.0061,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,Darius Garland,AST,7.0,UNDER,PrizePicks,,,57.8%,C,DO NOT BET,37.08,✅ HIT,6.0,UNDER,57.8%,37.06,✅ HIT,UNDER,57.6%,36.82,✅ HIT,UNDER,57.8%,37.29,✅ HIT,UNDER,57.7%,37.16,✅ HIT,-0.04,0.48,0.19,1.0,-1.08,1.4,1.2,0.0009,100.0%,6.5,-0.5,54.5%,45.5%,0.0794,6.5,-0.5,55.4%,44.6%,0.0852,6.5,-0.5,54.1%,45.9%,0.0769,6.5,-0.5,55.2%,44.8%,0.0843,7.5,0.5,41.2%,58.8%,-0.0067,7.5,0.5,42.9%,57.1%,0.0044
668,Jalen Duren,STL,0.5,OVER,PrizePicks,Goblin,,58.2%,A,DO NOT BET,37.08,❌ MISS,0.0,OVER,58.9%,37.5,❌ MISS,OVER,58.4%,37.21,❌ MISS,OVER,57.9%,36.93,❌ MISS,OVER,57.4%,36.66,❌ MISS,-0.46,-0.12,-0.71,-0.1,-0.27,1.0,0.8,0.0057,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Kawhi Leonard,FGA,18.5,OVER,Underdog and PrizePicks,,,54.1%,D,DO NOT BET,37.07,✅ HIT,19.0,OVER,53.6%,36.8,✅ HIT,OVER,52.3%,36.09,✅ HIT,OVER,56.0%,38.1,✅ HIT,OVER,54.5%,37.29,✅ HIT,-0.24,-0.22,1.5,-0.9,-0.08,1.2,1.2,0.0133,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Derrick White,3PA,7.5,OVER,Underdog and PrizePicks,Goblin,0.83x,62.8%,B,BET,37.06,❌ MISS,7.0,OVER,64.6%,38.02,❌ MISS,OVER,62.8%,37.07,❌ MISS,OVER,62.7%,36.97,❌ MISS,OVER,61.2%,36.18,❌ MISS,-0.47,-0.12,-3.0,-0.3,-0.88,1.2,1.2,0.0119,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Jayson Tatum,PTS,20.5,UNDER,Underdog,,0.89x,59.1%,D,DO NOT BET,37.05,✅ HIT,19.0,UNDER,59.8%,38.14,✅ HIT,UNDER,59.9%,38.13,✅ HIT,UNDER,58.2%,35.87,✅ HIT,UNDER,58.5%,36.09,✅ HIT,-0.36,-0.44,1.29,-1.7,0.32,1.0,1.2,0.0075,100.0%,19.5,-1.0,51.6%,48.4%,0.0696,,,,,,,,,,,,,,,,,,,,,,,,,
672,Jaden McDaniels,PRA,23.5,UNDER,Underdog,,0.89x,58.8%,D,DO NOT BET,37.05,❌ MISS,27.0,UNDER,59.7%,37.52,❌ MISS,UNDER,59.3%,37.32,❌ MISS,UNDER,58.3%,36.77,❌ MISS,UNDER,58.0%,36.59,❌ MISS,-0.2,-0.26,-0.18,-2.3,0.5,1.4,0.8,0.007,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,Andrew Nembhard,FGA,11.5,OVER,PrizePicks,,,58.1%,D,DO NOT BET,37.05,❌ MISS,9.0,OVER,60.6%,38.39,❌ MISS,OVER,58.1%,37.04,❌ MISS,OVER,57.8%,36.85,❌ MISS,OVER,56.0%,35.9,❌ MISS,-0.71,0.27,0.49,0.7,-2.51,1.2,0.8,0.0162,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,Victor Wembanyama,FGA,18.5,UNDER,Underdog,,0.88x,57.4%,D,DO NOT BET,37.04,✅ HIT,15.0,UNDER,62.1%,39.62,✅ HIT,UNDER,60.7%,38.83,✅ HIT,UNDER,53.4%,34.81,✅ HIT,UNDER,53.5%,34.89,✅ HIT,-0.71,0.11,2.0,0.3,-2.24,0.6,0.8,0.0401,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Tyler Herro,FTA,3.5,UNDER,PrizePicks,,,56.6%,C,DO NOT BET,37.02,✅ HIT,2.0,UNDER,54.1%,35.63,✅ HIT,UNDER,55.0%,36.11,✅ HIT,UNDER,58.6%,38.09,✅ HIT,UNDER,58.9%,38.26,✅ HIT,0.02,-0.03,-1.15,-0.1,0.16,1.0,1.2,0.0212,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,James Harden,PRA,36.5,UNDER,Underdog,,,52.3%,D,DO NOT BET,37.0,✅ HIT,34.0,UNDER,54.2%,38.03,✅ HIT,UNDER,54.0%,37.89,✅ HIT,UNDER,50.8%,36.13,✅ HIT,UNDER,50.4%,35.95,✅ HIT,0.07,0.1,-0.02,0.9,-0.27,1.4,1.2,0.0175,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,Andrew Nembhard,TOV,2.5,UNDER,Underdog,,0.81x,57.3%,A,DO NOT BET,37.0,✅ HIT,2.0,UNDER,50.9%,33.48,✅ HIT,UNDER,51.2%,33.63,✅ HIT,UNDER,63.7%,40.51,✅ HIT,UNDER,63.5%,40.39,✅ HIT,-0.07,-0.88,-0.66,-0.9,0.83,1.2,1.6,0.0627,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Klay Thompson,PR,13.5,UNDER,PrizePicks,,,52.6%,D,DO NOT BET,37.0,✅ HIT,8.0,UNDER,54.7%,38.21,✅ HIT,UNDER,54.6%,38.13,✅ HIT,UNDER,50.5%,35.88,✅ HIT,UNDER,50.4%,35.8,✅ HIT,0.12,0.32,0.49,1.5,-0.92,1.0,0.8,0.0212,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,Bam Adebayo,FTA,6.5,UNDER,PrizePicks,,,59.2%,C,DO NOT BET,36.99,✅ HIT,5.0,UNDER,63.6%,39.4,✅ HIT,UNDER,63.3%,39.23,✅ HIT,UNDER,54.5%,34.42,✅ HIT,UNDER,55.5%,34.92,✅ HIT,-0.31,1.24,-1.57,2.9,-3.62,0.8,0.4,0.0424,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,Jalen Duren,PTS,22.5,UNDER,Underdog and PrizePicks,,,63.4%,D,DO NOT BET,36.99,❌ MISS,26.0,UNDER,63.5%,37.03,❌ MISS,UNDER,63.4%,36.97,❌ MISS,UNDER,63.4%,36.97,❌ MISS,UNDER,63.4%,36.97,❌ MISS,-0.56,0.35,-0.97,2.1,-5.4,0.8,0.8,0.0005,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,Deandre Ayton,PA,12.5,UNDER,PrizePicks,,,51.1%,D,DO NOT BET,36.97,NO GAME,,UNDER,50.8%,36.71,NO GAME,UNDER,50.5%,36.27,NO GAME,UNDER,51.7%,37.74,NO GAME,UNDER,51.2%,37.16,NO GAME,0.17,-0.39,0.19,-1.7,2.45,1.2,1.2,0.0045,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,0.0,48.9%,51.1%,-0.0
682,Donovan Mitchell,3PA,7.5,OVER,Underdog,,0.85x,60.5%,B,BET WITH CAUTION,36.96,✅ HIT,9.0,OVER,59.1%,36.19,✅ HIT,OVER,57.8%,35.45,✅ HIT,OVER,63.3%,38.51,✅ HIT,OVER,61.8%,37.7,✅ HIT,-0.62,0.27,-0.91,0.7,-2.33,1.0,0.8,0.0219,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Joel Embiid,PR,29.5,OVER,Underdog and PrizePicks,,,74.0%,D,STRONG BET,36.93,✅ HIT,41.0,OVER,74.1%,37.04,✅ HIT,OVER,73.4%,36.18,✅ HIT,OVER,74.3%,37.19,✅ HIT,OVER,74.4%,37.31,✅ HIT,-0.92,-1.4,-0.59,-7.1,2.45,1.8,1.6,0.0037,100.0%,29.5,0.0,49.5%,50.5%,0.1598,29.5,0.0,49.2%,50.8%,0.1615,,,,,,,,,,,29.5,0.0,48.9%,51.1%,0.1632,29.5,0.0,49.7%,50.3%,0.158
684,Dyson Daniels,PTS,11.5,OVER,Underdog and PrizePicks,,,55.4%,D,DO NOT BET,36.92,✅ HIT,16.0,OVER,57.3%,37.98,✅ HIT,OVER,56.6%,37.61,✅ HIT,OVER,54.1%,36.24,✅ HIT,OVER,53.4%,35.85,✅ HIT,-0.03,-0.47,-0.82,-3.9,3.65,1.6,1.6,0.0163,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,James Harden,3PA,7.5,OVER,Underdog,,0.89x,56.9%,B,DO NOT BET,36.91,✅ HIT,9.0,OVER,55.9%,36.37,✅ HIT,OVER,54.8%,35.76,✅ HIT,OVER,59.1%,38.1,✅ HIT,OVER,57.8%,37.42,✅ HIT,-0.25,0.03,-0.2,0.1,-0.91,1.2,0.8,0.0165,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Jonathan Kuminga,TOV,1.5,UNDER,PrizePicks,,,53.0%,A,DO NOT BET,36.89,❌ MISS,2.0,UNDER,52.4%,36.56,❌ MISS,UNDER,52.6%,36.68,❌ MISS,UNDER,53.4%,37.11,❌ MISS,UNDER,53.6%,37.21,❌ MISS,0.85,-0.12,-0.0,-0.1,0.78,0.6,0.8,0.005,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,Austin Reaves,FGA,15.5,OVER,Underdog and PrizePicks,Goblin,0.86x,54.3%,D,DO NOT BET,36.89,✅ HIT,16.0,OVER,56.2%,37.96,✅ HIT,OVER,54.5%,37.0,✅ HIT,OVER,53.8%,36.63,✅ HIT,OVER,52.6%,35.98,✅ HIT,0.09,0.18,-0.45,0.7,-0.35,1.2,0.8,0.013,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,Kawhi Leonard,3PA,6.5,UNDER,Underdog,,0.87x,54.3%,B,DO NOT BET,36.88,✅ HIT,6.0,UNDER,54.7%,37.1,✅ HIT,UNDER,54.9%,37.23,✅ HIT,UNDER,53.6%,36.48,✅ HIT,UNDER,54.0%,36.7,✅ HIT,0.24,0.52,-1.5,0.9,-0.49,1.2,1.2,0.0054,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,Darius Garland,FGA,14.5,OVER,Underdog,,0.88x,55.8%,D,DO NOT BET,36.88,✅ HIT,16.0,OVER,57.5%,37.79,✅ HIT,OVER,55.5%,36.71,✅ HIT,OVER,55.9%,36.92,✅ HIT,OVER,54.4%,36.11,✅ HIT,-0.03,-0.36,-0.33,-2.3,2.11,1.0,1.2,0.0109,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Tyler Herro,RA,9.0,UNDER,PrizePicks,,,56.2%,C,DO NOT BET,36.88,✅ HIT,6.0,UNDER,56.8%,37.23,✅ HIT,UNDER,55.9%,36.72,✅ HIT,UNDER,56.4%,37.0,✅ HIT,UNDER,55.6%,36.56,✅ HIT,-0.11,0.81,-0.84,1.8,-2.04,1.0,0.4,0.0047,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,RJ Barrett,STL,0.5,OVER,PrizePicks,Goblin,,60.0%,A,BET WITH CAUTION,36.86,✅ HIT,1.0,OVER,62.6%,38.28,✅ HIT,OVER,62.0%,37.96,✅ HIT,OVER,58.0%,35.74,✅ HIT,OVER,57.5%,35.47,✅ HIT,-0.61,0.75,-2.0,0.3,-0.54,0.8,0.4,0.023,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,RJ Barrett,PTS,20.5,UNDER,Underdog and PrizePicks,,,59.2%,D,DO NOT BET,36.84,✅ HIT,12.0,UNDER,59.7%,37.1,✅ HIT,UNDER,59.7%,37.12,✅ HIT,UNDER,58.6%,36.52,✅ HIT,UNDER,58.8%,36.63,✅ HIT,-0.26,0.2,-0.57,1.1,-2.54,0.6,0.8,0.0049,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Austin Reaves,3PA,6.5,UNDER,Underdog,,0.94x,55.0%,B,DO NOT BET,36.84,❌ MISS,7.0,UNDER,55.9%,37.33,❌ MISS,UNDER,56.0%,37.4,❌ MISS,UNDER,53.8%,36.2,❌ MISS,UNDER,54.2%,36.42,❌ MISS,-0.01,-0.05,0.17,-0.1,0.08,0.8,0.8,0.0097,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,RJ Barrett,FGM,7.5,UNDER,PrizePicks,,,56.1%,C,DO NOT BET,36.8,✅ HIT,5.0,UNDER,56.4%,36.96,✅ HIT,UNDER,56.7%,37.14,✅ HIT,UNDER,55.5%,36.44,✅ HIT,UNDER,55.9%,36.67,✅ HIT,-0.22,0.3,-0.0,0.7,-1.2,0.6,0.8,0.0049,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,Jalen Williams,STL,0.5,OVER,PrizePicks,Goblin,,61.5%,A,BET WITH CAUTION,36.79,❌ MISS,0.0,OVER,63.5%,37.86,❌ MISS,OVER,62.9%,37.53,❌ MISS,OVER,60.1%,36.02,❌ MISS,OVER,59.6%,35.74,❌ MISS,-1.81,0.75,-1.5,0.3,-1.02,1.0,0.4,0.0168,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Kevin Durant,REB,5.5,UNDER,Underdog,,0.83x,54.9%,B,DO NOT BET,36.79,✅ HIT,3.0,UNDER,56.2%,37.53,✅ HIT,UNDER,55.1%,36.92,✅ HIT,UNDER,54.6%,36.61,✅ HIT,UNDER,53.6%,36.1,✅ HIT,-0.03,-0.44,-0.0,-0.7,0.66,1.0,1.2,0.0094,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,Scottie Barnes,FGM,6.5,OVER,PrizePicks,,,57.9%,C,DO NOT BET,36.77,❌ MISS,4.0,OVER,60.9%,38.41,❌ MISS,OVER,60.1%,37.96,❌ MISS,OVER,55.7%,35.56,❌ MISS,OVER,55.0%,35.13,❌ MISS,-0.66,-0.26,-0.33,-0.3,-0.48,1.0,1.2,0.0261,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,Jaden McDaniels,TOV,1.5,OVER,PrizePicks,Goblin,,55.8%,A,DO NOT BET,36.77,❌ MISS,1.0,OVER,56.5%,37.17,❌ MISS,OVER,56.0%,36.89,❌ MISS,OVER,55.6%,36.66,❌ MISS,OVER,55.1%,36.37,❌ MISS,-0.44,0.4,-0.71,0.3,-0.63,1.4,0.8,0.0054,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,Kawhi Leonard,FTA,6.5,OVER,PrizePicks,,,55.3%,C,DO NOT BET,36.76,✅ HIT,8.0,OVER,51.1%,34.45,✅ HIT,UNDER,50.4%,31.86,❌ MISS,OVER,61.9%,40.37,✅ HIT,OVER,58.7%,38.6,✅ HIT,-0.06,-0.16,1.5,-0.5,0.3,1.2,0.8,0.0512,75.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Isaiah Hartenstein,FGA,4.5,OVER,PrizePicks,Goblin,,61.9%,D,DO NOT BET,36.74,✅ HIT,6.0,OVER,63.5%,37.66,✅ HIT,OVER,60.6%,36.05,✅ HIT,OVER,62.9%,37.28,✅ HIT,OVER,60.5%,35.97,✅ HIT,-0.75,0.25,-1.75,0.7,-2.8,1.4,0.8,0.0135,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Tyler Herro,AST,4.0,UNDER,PrizePicks,,,56.5%,C,DO NOT BET,36.73,❌ MISS,4.0,UNDER,57.9%,37.45,❌ MISS,UNDER,57.6%,37.33,❌ MISS,UNDER,55.2%,36.02,❌ MISS,UNDER,55.4%,36.1,❌ MISS,-0.17,0.17,-0.85,0.2,-0.4,1.0,0.8,0.0122,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Jaden McDaniels,PR,19.5,UNDER,Underdog and PrizePicks,,,55.3%,D,DO NOT BET,36.73,❌ MISS,27.0,UNDER,55.5%,36.82,❌ MISS,UNDER,55.3%,36.74,❌ MISS,UNDER,55.3%,36.71,❌ MISS,UNDER,55.1%,36.64,❌ MISS,-0.07,-0.14,-0.07,-1.1,0.51,1.4,0.8,0.0012,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Josh Giddey,PTS,18.5,UNDER,Underdog,,0.88x,53.4%,D,DO NOT BET,36.73,❌ MISS,23.0,UNDER,51.1%,33.98,❌ MISS,UNDER,51.4%,34.41,❌ MISS,UNDER,55.4%,39.06,❌ MISS,UNDER,55.7%,39.44,❌ MISS,-0.23,-1.1,0.06,-4.7,3.71,1.2,1.6,0.0214,100.0%,18.5,0.0,46.3%,53.7%,-0.0022,18.5,0.0,48.0%,52.0%,0.0091,17.5,-1.0,53.9%,46.1%,0.0477,18.5,0.0,48.1%,51.9%,0.0099,21.5,3.0,36.1%,63.9%,-0.0681,18.5,0.0,48.9%,51.1%,0.015
704,Jalen Johnson,PTS,21.5,UNDER,Underdog and PrizePicks,,,51.0%,D,DO NOT BET,36.71,❌ MISS,27.0,UNDER,50.4%,36.41,❌ MISS,UNDER,50.8%,36.62,❌ MISS,UNDER,51.1%,36.77,❌ MISS,UNDER,51.6%,37.05,❌ MISS,0.33,-0.45,0.21,-1.7,2.93,1.2,1.2,0.0042,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Jaime Jaquez Jr.,REB,3.5,OVER,Underdog,,0.88x,59.0%,B,DO NOT BET,36.7,❌ MISS,2.0,OVER,58.9%,36.67,❌ MISS,OVER,59.4%,36.93,❌ MISS,OVER,58.6%,36.51,❌ MISS,OVER,59.0%,36.68,❌ MISS,-0.89,0.28,-0.31,0.5,-2.09,1.0,0.8,0.0027,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Jaylen Brown,PR,31.5,OVER,Underdog and PrizePicks,,,54.9%,D,DO NOT BET,36.69,✅ HIT,39.0,OVER,53.3%,34.71,✅ HIT,OVER,53.1%,34.53,✅ HIT,OVER,56.6%,38.69,✅ HIT,OVER,56.7%,38.84,✅ HIT,-0.45,-0.46,0.35,-4.1,0.05,1.2,1.6,0.0173,100.0%,31.5,0.0,52.4%,47.6%,0.0164,,,,,,,,,,,,,,,,,,,,,,,,,
707,Kevin Durant,TOV,2.5,OVER,Underdog and PrizePicks,Goblin,0.80x,56.5%,A,DO NOT BET,36.68,✅ HIT,6.0,OVER,53.7%,35.16,✅ HIT,OVER,53.3%,34.92,✅ HIT,OVER,59.8%,38.51,✅ HIT,OVER,59.1%,38.14,✅ HIT,-0.31,-0.49,-0.39,-1.1,0.41,1.2,1.6,0.03,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Derrick White,REB,4.5,UNDER,Underdog,,0.81x,50.9%,B,DO NOT BET,36.67,✅ HIT,2.0,UNDER,51.4%,37.26,✅ HIT,UNDER,50.5%,36.15,✅ HIT,UNDER,51.3%,37.11,✅ HIT,UNDER,50.5%,36.17,✅ HIT,0.02,1.12,0.37,0.9,-0.89,0.8,0.4,0.0043,100.0%,4.5,0.0,46.3%,53.7%,-0.0182,,,,,,,,,,,,,,,,,,,,,,,,,
709,Naz Reid,STL,0.5,OVER,PrizePicks,Goblin,,58.1%,A,DO NOT BET,36.66,✅ HIT,2.0,OVER,58.9%,37.08,✅ HIT,OVER,58.4%,36.79,✅ HIT,OVER,57.9%,36.52,✅ HIT,OVER,57.4%,36.25,✅ HIT,-0.57,-0.12,-0.71,-0.1,-0.36,0.8,0.8,0.0056,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
