stat,feature_mode,calibration_set,bt_tight_rows,0.50-0.55_n,0.50-0.55_acc,0.50-0.55_avg_conf,0.55-0.60_n,0.55-0.60_acc,0.55-0.60_avg_conf,0.60-0.65_n,0.60-0.65_acc,0.60-0.65_avg_conf,0.65-0.70_n,0.65-0.70_acc,0.65-0.70_avg_conf,0.70-0.80_n,0.70-0.80_acc,0.70-0.80_avg_conf,0.80-0.90_n,0.80-0.90_acc,0.80-0.90_avg_conf,0.90-1.00_n,0.90-1.00_acc,0.90-1.00_avg_conf,p99_conf,max_conf
AST,reduced,ALL,7096,1707,0.507908611599297,0.5247129280613394,1606,0.5797011207970112,0.5743988200318026,1398,0.6359084406294707,0.6239157137962185,1061,0.647502356267672,0.6740839471250226,1221,0.7182637182637183,0.7405287833695398,103,0.7864077669902912,0.8161675800707049,0,,,0.8072208076615331,0.8583881400591276
AST,reduced,TIGHT,7096,1853,0.5121424716675661,0.5246152650847655,1717,0.5847408270238789,0.5742896755270351,1405,0.6505338078291815,0.6238489251448793,1031,0.6653734238603298,0.6737306164798413,1052,0.7262357414448669,0.7372905174489188,38,0.8157894736842105,0.8123509341804636,0,,,0.7900417515469379,0.8403726051572706
STL,full,ALL,5524,503,0.4811133200795228,0.5259324474407646,673,0.5601783060921248,0.5766185642839808,690,0.6246376811594203,0.6244645202746207,764,0.6976439790575916,0.6736621014712253,1374,0.7256186317321689,0.7538052592235038,1425,0.8112280701754386,0.8409365798568602,95,0.9473684210526316,0.9079220835965196,0.9058197741865216,0.9238803260407764
STL,full,TIGHT,5524,534,0.4625468164794007,0.5264380684095328,674,0.5712166172106825,0.5769562697491538,699,0.6180257510729614,0.6249073408722043,749,0.7022696929238985,0.6736175981952137,1381,0.7299058653149891,0.7545091012059576,1409,0.8119233498935415,0.8403573705976433,78,0.9615384615384616,0.9069940123101088,0.90336714903796,0.9215354293399052
STL,reduced,ALL,5524,398,0.4924623115577889,0.5265735851400595,665,0.5609022556390978,0.5767664105032282,794,0.610831234256927,0.6250941238764322,738,0.6897018970189702,0.6751342606855703,1583,0.7252053063802906,0.7540830631958028,1322,0.8275340393343419,0.8395724490151766,24,0.9166666666666666,0.9029041265441689,0.8945701355417649,0.908921104680572
STL,reduced,TIGHT,5524,405,0.5185185185185185,0.5261653837332606,709,0.5514809590973202,0.5763157865991219,785,0.619108280254777,0.6253613987268904,719,0.7009735744089013,0.6747992584656849,1593,0.7263025737602009,0.7541967745008025,1301,0.8255188316679477,0.8385842520058624,12,1.0,0.9017527545929336,0.8918492589003869,0.9062605435009824
BLK,full,ALL,3895,424,0.5306603773584906,0.5249017414990373,401,0.6209476309226932,0.5746950407879362,256,0.62890625,0.6232998267713996,299,0.6622073578595318,0.6746935660517239,770,0.7428571428571429,0.7543230834323422,1144,0.8444055944055944,0.8507636085499405,601,0.9284525790349416,0.9202446373928004,0.9359544994629924,0.9464013715617032
BLK,full,TIGHT,3895,440,0.5386363636363637,0.5250726319969862,387,0.6046511627906976,0.5750265226554782,253,0.6640316205533597,0.6236082916431286,283,0.6360424028268551,0.6748975233893127,806,0.7444168734491315,0.7547296654353265,1156,0.8477508650519031,0.8512524284152251,570,0.9298245614035088,0.9189445227372384,0.933647747665842,0.9441914636557832
BLK,reduced,ALL,3895,465,0.5526881720430108,0.5255264453460244,340,0.5764705882352941,0.5731792764904005,281,0.6476868327402135,0.6263581080367334,288,0.7013888888888888,0.6767697123517635,797,0.7427854454203262,0.7538012926858659,1123,0.8432769367764915,0.8491094448817559,601,0.9317803660565724,0.9213224698294404,0.9354741034396316,0.9427976129544864
BLK,reduced,TIGHT,3895,466,0.5321888412017167,0.5250079077770026,344,0.5959302325581395,0.5723840233146489,259,0.6447876447876448,0.6266645688341573,294,0.6904761904761905,0.6764371214768151,809,0.7404202719406675,0.7539191131495754,1144,0.8435314685314685,0.8487989171023959,579,0.9360967184801382,0.9199810203551042,0.9333752889868612,0.9407457478642544
