stat,feature_mode,calibration_set,status,train_rows,cal_rows,bt_rows,cal_tight_rows,bt_tight_rows,n_features,best_iteration,scale_pos_weight,hp_max_depth,hp_min_child_weight,hp_subsample,hp_colsample_bytree,hp_reg_alpha,hp_gamma,bt_full_logloss,bt_full_brier,bt_full_auc,bt_full_base_acc,bt_full_ece10,bt_full_p99_conf,bt_full_max_conf,bt_full_cov@0.55,bt_full_acc@0.55,bt_full_cov@0.60,bt_full_acc@0.60,bt_full_cov@0.65,bt_full_acc@0.65,bt_full_cov@0.70,bt_full_acc@0.70,bt_tight_logloss,bt_tight_brier,bt_tight_auc,bt_tight_base_acc,bt_tight_ece10,bt_tight_p99_conf,bt_tight_max_conf,bt_tight_cov@0.55,bt_tight_acc@0.55,bt_tight_cov@0.60,bt_tight_acc@0.60,bt_tight_cov@0.65,bt_tight_acc@0.65,bt_tight_cov@0.70,bt_tight_acc@0.70
PRA,full,TIGHT,OK,1586972,110915,51099,31619,13842,292,608,0.968664559443058,4,3,0.7,0.6,0.1,0.1,0.6074065769608027,0.209461058596733,0.7322731735273382,0.674318479813695,0.0286199685888243,0.8275607612726752,0.8596476762064472,0.8573553298498993,0.6993380506733623,0.7188594688741463,0.7230827865951597,0.5740229750092957,0.7475794354288832,0.4167791933305935,0.775790017373339,0.6665540724794135,0.236966622467672,0.6280343485249784,0.5927611616818379,0.0292801925509716,0.735546607560008,0.8179686516168966,0.6412368154890912,0.6337314105452907,0.3481433318884554,0.6713010998132393,0.1456436931079323,0.6989087301587301,0.0402398497326975,0.725314183123878
PRA,reduced,ALL,OK,1586972,110915,51099,31619,13842,70,804,0.968664559443058,4,3,0.7,0.6,0.1,0.1,0.6105864360977116,0.2109026324901496,0.7275040115146016,0.6723810642086929,0.0261781381502252,0.8320503509839652,0.8577580479054994,0.8611714514961154,0.6952391773662084,0.7264525724573866,0.7170334850893025,0.5835143544883461,0.7411543750209612,0.4290690620168692,0.768072976054732,0.6704825435090097,0.2388356868753587,0.6177764422551145,0.5931223811587921,0.0255525865376103,0.7393966296762848,0.7994638231414657,0.6441265713047247,0.6255047106325706,0.3549342580551943,0.6507225727661307,0.1483167172373934,0.6702386751095957,0.0387949718248808,0.6908752327746741
PRA,reduced,TIGHT,OK,1586972,110915,51099,31619,13842,70,804,0.968664559443058,4,3,0.7,0.6,0.1,0.1,0.6109449150517113,0.2110521679828664,0.7275040115146016,0.6721853656627331,0.0289023826568596,0.831440273029314,0.8569525745315456,0.8608191941133877,0.6949325937208721,0.7253958003092037,0.7169989478511883,0.5819291962660718,0.7413572773742265,0.4273860545216149,0.7680296716882641,0.6708319844422158,0.2389988797406606,0.6177764422551145,0.5923276983094928,0.0286459353766248,0.7370338078166591,0.7967971410777301,0.6428261811876896,0.624409979770735,0.3511775754948706,0.6500720016457519,0.1437653518277705,0.671356783919598,0.0376390694986273,0.6833013435700576
PA,full,ALL,OK,1413561,100288,46181,29030,12800,292,589,0.9866303509163964,4,3,0.7,0.6,0.1,0.1,0.6040422991184675,0.2081096791933202,0.7354580688203081,0.67657694722938,0.0274045749918872,0.8442037593098269,0.8790897705538412,0.8668716571750287,0.6995978317887742,0.7337000064961781,0.7234306289289614,0.597518459972716,0.7484960498659129,0.4518091855958078,0.7734004313443565,0.6664948989178331,0.2369705630534795,0.6251126068218644,0.594296875,0.0266156273612652,0.744679164314048,0.8213316328302898,0.669921875,0.6282215743440234,0.3790625,0.6628194558944766,0.168828125,0.7070800555298473,0.0525,0.7261904761904762
PA,full,TIGHT,OK,1413561,100288,46181,29030,12800,292,589,0.9866303509163964,4,3,0.7,0.6,0.1,0.1,0.6044447644325369,0.2082850426906007,0.7354580688203081,0.6761005608367078,0.0299395553495772,0.8446935261942201,0.878603131164944,0.8671315042983045,0.6992383568485454,0.7349775881856174,0.7228802074126451,0.5994889673242243,0.7474805851544157,0.4541261557783504,0.7726969292389854,0.6668943176284549,0.2371607458842269,0.6251126068218644,0.59328125,0.0300474299534794,0.7442072223929034,0.8203136912774618,0.669765625,0.6276682608188499,0.37875,0.6633663366336634,0.16796875,0.7074418604651163,0.051484375,0.7253414264036419
PA,reduced,ALL,OK,1413561,100288,46181,29030,12800,78,973,0.9866303509163964,4,3,0.7,0.6,0.1,0.1,0.6064336931700606,0.2091030452120426,0.7326903236551189,0.6758623676403716,0.0274627304962356,0.8440388221067034,0.8763445539411451,0.8669799268097269,0.6982366751585993,0.7324440787336783,0.7207686622320769,0.5958294536714233,0.7451301061200756,0.4504233342716702,0.7704918032786885,0.6691953119452952,0.2382521283577226,0.6191906516910045,0.592734375,0.0273943390497755,0.7469556502245918,0.8138792977879634,0.663046875,0.6217744786143513,0.3671875,0.6538297872340425,0.1615625,0.6900386847195358,0.05203125,0.7192192192192193
PA,reduced,TIGHT,OK,1413561,100288,46181,29030,12800,78,973,0.9866303509163964,4,3,0.7,0.6,0.1,0.1,0.6070060269670843,0.2093462665085829,0.7326903236551189,0.6747147095125701,0.0315163309589852,0.8449690502651893,0.8750382587975207,0.8672614278599424,0.6982097825272777,0.7340031614733332,0.7201227247249019,0.5971936510686213,0.7440081221219044,0.4513327992031355,0.7699947224487838,0.6697707284339856,0.2385247132465709,0.6191906516910045,0.5903125,0.032002080426031,0.744760531475134,0.811770377464991,0.662734375,0.6219497819167747,0.36921875,0.652137113838341,0.160390625,0.6848514369215781,0.050234375,0.7107309486780715
PR,full,ALL,OK,1511457,105577,48626,30428,13225,292,743,0.9989353696647804,4,3,0.7,0.6,0.1,0.1,0.6058858555958283,0.2089308753691235,0.7326698345247484,0.6747213424916711,0.0234224972915796,0.8435825193413464,0.8779077270518305,0.8689795582610126,0.6970299372855283,0.7382675934685148,0.7193515139697485,0.6011393081890347,0.7439362320823782,0.4524122897215481,0.7720805491158689,0.6685423765936336,0.237868016835877,0.6212946887974955,0.5964461247637051,0.0216816167273709,0.749912332728439,0.8447816917466742,0.6657844990548204,0.6286201022146508,0.377164461247637,0.6565757818765036,0.1683175803402646,0.6738544474393531,0.0547448015122873,0.68646408839779
PR,full,TIGHT,OK,1511457,105577,48626,30428,13225,292,743,0.9989353696647804,4,3,0.7,0.6,0.1,0.1,0.6059996290086309,0.208945484038059,0.7326698345247484,0.674741907621437,0.0235128474762639,0.8359320821587289,0.8706840951645698,0.8639616665981162,0.6978410416319535,0.7290749804631267,0.7211722892925646,0.587751408711389,0.7466410076976907,0.4325669394973882,0.7758391176190929,0.6685849612060498,0.2378947213129869,0.6212946887974955,0.5967485822306238,0.0209021499410267,0.7430184266981827,0.8372577634030343,0.6525519848771266,0.6302433371958285,0.3606049149338374,0.6590480184525057,0.1545557655954631,0.6795499021526419,0.0468809073724007,0.6951612903225807
PR,reduced,ALL,OK,1511457,105577,48626,30428,13225,78,914,0.9989353696647804,4,3,0.7,0.6,0.1,0.1,0.6086833907180073,0.2101651222791355,0.7290885607678046,0.6730350018508616,0.0225359277929236,0.8430969148005291,0.8727822437813185,0.8671286965820755,0.6948416933475632,0.7358614732858965,0.7170364987982785,0.5996997491054169,0.7398580295600288,0.4512195121951219,0.7670115309238412,0.671424343702851,0.2392725207342942,0.6143037069490097,0.5927410207939509,0.0206162639345534,0.7467395080217022,0.8375406028287239,0.6521739130434783,0.6217971014492754,0.3665028355387523,0.6482360222818238,0.1565217391304348,0.6531400966183575,0.0459735349716446,0.6842105263157895
