source_file,Rank,rerank_position,Player,Stat,Pick,Confidence,Recommendation,Tier,Result,Rank Score,historical_rerank_score,hybrid_rerank_score,stat_component,tier_component,rec_component,player_component,agreement_component,stability_component
AI Picks by Srini underdog - March 13 2026.csv,323,2016,Jalen Green,FGA,OVER,55.5%,DO NOT BET,D,✅ HIT,53.7,0.5656457680779746,0.4625474250895897,0.4736390243902439,0.4584602067315036,0.49407702047654983,0.48343495934959346,1.0,0.9914
AI Picks by Srini underdog - March 13 2026.csv,391,2017,Brandon Ingram,TOV,OVER,51.4%,DO NOT BET,A,❌ MISS,50.6,0.602092895054863,0.46253775181468726,0.59583830803343,0.6088002636783125,0.49407702047654983,0.5593495934959349,1.0,0.9977
AI Picks by Srini underdog - March 12 2026.csv,317,2018,Cade Cunningham,FTM,UNDER,51.4%,DO NOT BET,B,✅ HIT,54.9,0.5514716839087345,0.4625085823059887,0.5145057766367137,0.5557229965156795,0.49407702047654983,0.45889526542324244,0.75,0.9889
AI Picks by Srini underdog - March 11 2026.csv,267,2019,James Harden,RA,UNDER,53.40%,DO NOT BET,C,❌ MISS,54.03,0.5613849306193938,0.46230081652127347,0.5152613240418118,0.4925952315702933,0.49407702047654983,0.39101995565410197,1.0,0.9854
AI Picks by Srini underdog - March 15 2026.csv,251,2020,Chet Holmgren,PRA,UNDER,51.7%,DO NOT BET,D,❌ MISS,54.18,0.5595928104529437,0.46228272740388165,0.4730352303523035,0.4584602067315036,0.49407702047654983,0.5516629711751663,1.0,0.9947
AI Picks by Srini underdog - March 13 2026.csv,348,2021,Rudy Gobert,RA,UNDER,52.9%,DO NOT BET,C,✅ HIT,52.55,0.5787139305162637,0.462249681745006,0.5152613240418118,0.4925952315702933,0.49407702047654983,0.586159954622802,1.0,0.9757
AI Picks by Srini underdog - March 15 2026.csv,263,2022,Rudy Gobert,PTS,UNDER,51.2%,DO NOT BET,D,✅ HIT,53.86,0.5632051094061244,0.4621842385430744,0.4830232333943893,0.4584602067315036,0.49407702047654983,0.586159954622802,1.0,0.992
AI Picks by Srini underdog - March 10 2026.csv,445,2023,Michael Porter Jr.,PR,OVER,56.90%,DO NOT BET,D,❌ MISS,53.23,0.5705542675935397,0.46214467760353156,0.4622014406672564,0.4584602067315036,0.49407702047654983,0.5281951219512195,1.0,0.9506
AI Picks by Srini underdog - March 15 2026.csv,267,2024,RJ Barrett,RA,UNDER,52.5%,DO NOT BET,C,✅ HIT,53.78,0.5640579825942895,0.46212698532028806,0.5152613240418118,0.4925952315702933,0.49407702047654983,0.4441504754030591,1.0,0.9938
AI Picks by Srini underdog - March 10 2026.csv,281,2025,Michael Porter Jr.,PTS,UNDER,50.70%,DO NOT BET,D,✅ HIT,57.55,0.5197136261389663,0.4621257835931173,0.4830232333943893,0.4584602067315036,0.49407702047654983,0.5281951219512195,0.5,0.9721
AI Picks by Srini underdog - March 13 2026.csv,305,2026,Donovan Mitchell,TOV,OVER,50.5%,DO NOT BET,A,❌ MISS,54.32,0.5576750495264078,0.4621065191930472,0.59583830803343,0.6088002636783125,0.49407702047654983,0.5138211382113821,0.5,0.9616
AI Picks by Srini underdog - March 14 2026.csv,281,2027,Brandon Miller,TOV,OVER,52.1%,DO NOT BET,A,✅ HIT,54.17,0.5592784808989568,0.46200196059440346,0.59583830803343,0.6088002636783125,0.49407702047654983,0.47460545193687226,0.5,0.9633
AI Picks by Srini underdog - March 13 2026.csv,331,2028,Dejounte Murray,PTS,OVER,53.7%,DO NOT BET,D,✅ HIT,53.44,0.5678144391470964,0.46196929370046436,0.4830232333943893,0.4584602067315036,0.49407702047654983,0.5502032520325203,1.0,0.9861
AI Picks by Srini underdog - March 13 2026.csv,369,2029,Immanuel Quickley,3PM,UNDER,50.8%,DO NOT BET,S,❌ MISS,52.03,0.5839135172921587,0.46165387798122887,0.5747041267881033,0.5869918699186992,0.49407702047654983,0.4679442508710801,1.0,0.9946
AI Picks by Srini underdog - March 10 2026.csv,471,2030,Onyeka Okongwu,PRA,OVER,52.80%,DO NOT BET,D,✅ HIT,52.57,0.5775233077605142,0.46162868215254227,0.4730352303523035,0.4584602067315036,0.49407702047654983,0.691567944250871,1.0,0.9987
AI Picks by Srini underdog - March 10 2026.csv,418,2031,Jalen Johnson,PA,OVER,54.50%,DO NOT BET,D,✅ HIT,53.91,0.5616203029035001,0.4615363773133021,0.4054911368785819,0.4584602067315036,0.49407702047654983,0.6164260826281732,1.0,0.9855
AI Picks by Srini underdog - March 14 2026.csv,276,2032,Onyeka Okongwu,PTS,UNDER,51.3%,DO NOT BET,D,✅ HIT,54.36,0.5562559083689315,0.4614898878382344,0.4830232333943893,0.4584602067315036,0.49407702047654983,0.691567944250871,0.75,0.9854
AI Picks by Srini underdog - March 14 2026.csv,335,2033,Onyeka Okongwu,AST,OVER,52.5%,DO NOT BET,C,✅ HIT,52.32,0.5802401999328788,0.4614833470799115,0.4745136763108522,0.4925952315702933,0.49407702047654983,0.691567944250871,1.0,0.9856
AI Picks by Srini underdog - March 15 2026.csv,278,2034,Andrew Nembhard,RA,UNDER,52.1%,DO NOT BET,C,NO GAME,53.25,0.5691941989120767,0.4614135381593541,0.5152613240418118,0.4925952315702933,0.49407702047654983,0.5093126385809312,1.0,0.9934
AI Picks by Srini underdog - March 14 2026.csv,363,2035,Dyson Daniels,STL,OVER,51.1%,DO NOT BET,A,✅ HIT,50.78,0.5982224005589237,0.4613980771812875,0.6067636810821889,0.6088002636783125,0.49407702047654983,0.5102439024390244,1.0,0.9952
AI Picks by Srini underdog - March 13 2026.csv,319,2036,Jalen Green,TOV,OVER,52.7%,DO NOT BET,A,✅ HIT,53.84,0.5621364316402289,0.46133669279646883,0.59583830803343,0.6088002636783125,0.49407702047654983,0.48343495934959346,0.5,0.962
AI Picks by Srini underdog - March 12 2026.csv,360,2037,Bam Adebayo,AST,UNDER,54.0%,DO NOT BET,C,✅ HIT,53.56,0.565156901442751,0.46115932538528037,0.4745136763108522,0.4925952315702933,0.49407702047654983,0.48343495934959346,1.0,0.9982
AI Picks by Srini underdog - March 12 2026.csv,302,2038,Payton Pritchard,AST,OVER,52.2%,DO NOT BET,C,❌ MISS,55.19,0.5457676401587589,0.4610180792507191,0.4745136763108522,0.4925952315702933,0.49407702047654983,0.351892346509672,1.0,0.9959
AI Picks by Srini underdog - March 11 2026.csv,326,2039,Scottie Barnes,FTM,OVER,52.80%,DO NOT BET,B,❌ MISS,52.14,0.5815673074602189,0.4609698201837218,0.5145057766367137,0.5557229965156795,0.49407702047654983,0.5424015009380863,1.0,0.9786
AI Picks by Srini underdog - March 15 2026.csv,286,2040,Donte DiVincenzo,3PA,UNDER,50.2%,DO NOT BET,B,❌ MISS,53.08,0.5704233761893454,0.46091280920000466,0.5765635645183267,0.5557229965156795,0.49407702047654983,0.5612466124661246,0.75,0.9966
AI Picks by Srini underdog - March 11 2026.csv,256,2041,Jamal Murray,3PM,UNDER,51.90%,DO NOT BET,S,❌ MISS,54.19,0.5573592548066766,0.46090736883319466,0.5747041267881033,0.5869918699186992,0.49407702047654983,0.5251016260162601,0.5,0.9744
AI Picks by Srini underdog - March 15 2026.csv,269,2042,Immanuel Quickley,PRA,OVER,55.9%,DO NOT BET,D,❌ MISS,53.66,0.5635009384225351,0.4608474754160071,0.4730352303523035,0.4584602067315036,0.49407702047654983,0.4679442508710801,1.0,0.9547
AI Picks by Srini underdog - March 14 2026.csv,316,2043,Dyson Daniels,PTS,OVER,55.7%,DO NOT BET,D,❌ MISS,53.08,0.5702685041877468,0.46081214239896556,0.4830232333943893,0.4584602067315036,0.49407702047654983,0.5102439024390244,1.0,0.9791
AI Picks by Srini underdog - March 15 2026.csv,306,2044,Rudy Gobert,RA,UNDER,52.8%,DO NOT BET,C,✅ HIT,52.3,0.5792989305162638,0.4607186167603383,0.5152613240418118,0.4925952315702933,0.49407702047654983,0.586159954622802,1.0,0.9942
